observation_date,source,series_id,maturity,rate_bps
2021-02-19,NYFED,SOFR,ON,2
2021-02-19,UST,DGS2,2Y,11
2021-02-19,UST,DGS5,5Y,59
2021-02-22,NYFED,EFFR,ON,7
2021-02-22,NYFED,SOFR,ON,3
2021-02-22,UST,DGS2,2Y,11
2021-02-22,UST,DGS5,5Y,61
2021-02-23,NYFED,EFFR,ON,7
2021-02-23,NYFED,SOFR,ON,1
2021-02-23,UST,DGS2,2Y,11
2021-02-23,UST,DGS5,5Y,59
2021-02-24,NYFED,EFFR,ON,7
2021-02-24,NYFED,SOFR,ON,2
2021-02-24,UST,DGS2,2Y,12
2021-02-24,UST,DGS5,5Y,62
2021-02-25,NYFED,EFFR,ON,7
2021-02-25,NYFED,SOFR,ON,3
2021-02-25,UST,DGS2,2Y,17
2021-02-25,UST,DGS5,5Y,81
2021-02-26,NYFED,EFFR,ON,7
2021-02-26,NYFED,SOFR,ON,1
2021-02-26,UST,DGS2,2Y,14
2021-02-26,UST,DGS5,5Y,75
2021-03-01,NYFED,EFFR,ON,7
2021-03-01,NYFED,SOFR,ON,2
2021-03-01,UST,DGS2,2Y,13
2021-03-01,UST,DGS5,5Y,71
2021-03-02,NYFED,EFFR,ON,7
2021-03-02,NYFED,SOFR,ON,4
2021-03-02,UST,DGS2,2Y,13
2021-03-02,UST,DGS5,5Y,67
2021-03-03,NYFED,EFFR,ON,7
2021-03-03,NYFED,SOFR,ON,4
2021-03-03,UST,DGS2,2Y,14
2021-03-03,UST,DGS5,5Y,73
2021-03-04,NYFED,EFFR,ON,7
2021-03-04,NYFED,SOFR,ON,2
2021-03-04,UST,DGS2,2Y,14
2021-03-04,UST,DGS5,5Y,77
2021-03-05,NYFED,EFFR,ON,7
2021-03-05,NYFED,SOFR,ON,2
2021-03-05,UST,DGS2,2Y,14
2021-03-05,UST,DGS5,5Y,79
2021-03-08,NYFED,EFFR,ON,7
2021-03-08,NYFED,SOFR,ON,2
2021-03-08,UST,DGS2,2Y,17
2021-03-08,UST,DGS5,5Y,86
2021-03-09,NYFED,EFFR,ON,7
2021-03-09,NYFED,SOFR,ON,2
2021-03-09,UST,DGS2,2Y,17
2021-03-09,UST,DGS5,5Y,83
2021-03-10,NYFED,EFFR,ON,7
2021-03-10,NYFED,SOFR,ON,2
2021-03-10,UST,DGS2,2Y,16
2021-03-10,UST,DGS5,5Y,80
2021-03-11,NYFED,EFFR,ON,7
2021-03-11,NYFED,SOFR,ON,1
2021-03-11,UST,DGS2,2Y,14
2021-03-11,UST,DGS5,5Y,78
2021-03-12,NYFED,EFFR,ON,7
2021-03-12,NYFED,SOFR,ON,1
2021-03-12,UST,DGS2,2Y,14
2021-03-12,UST,DGS5,5Y,85
2021-03-15,NYFED,EFFR,ON,7
2021-03-15,NYFED,SOFR,ON,1
2021-03-15,UST,DGS2,2Y,14
2021-03-15,UST,DGS5,5Y,84
2021-03-16,NYFED,EFFR,ON,7
2021-03-16,NYFED,SOFR,ON,1
2021-03-16,UST,DGS2,2Y,15
2021-03-16,UST,DGS5,5Y,83
2021-03-17,NYFED,EFFR,ON,7
2021-03-17,NYFED,SOFR,ON,1
2021-03-17,UST,DGS2,2Y,13
2021-03-17,UST,DGS5,5Y,80
2021-03-18,NYFED,EFFR,ON,7
2021-03-18,NYFED,SOFR,ON,1
2021-03-18,UST,DGS2,2Y,16
2021-03-18,UST,DGS5,5Y,86
2021-03-19,NYFED,EFFR,ON,7
2021-03-19,NYFED,SOFR,ON,1
2021-03-19,UST,DGS2,2Y,16
2021-03-19,UST,DGS5,5Y,90
2021-03-22,NYFED,EFFR,ON,7
2021-03-22,NYFED,SOFR,ON,1
2021-03-22,UST,DGS2,2Y,15
2021-03-22,UST,DGS5,5Y,87
2021-03-23,NYFED,EFFR,ON,7
2021-03-23,NYFED,SOFR,ON,1
2021-03-23,UST,DGS2,2Y,15
2021-03-23,UST,DGS5,5Y,83
2021-03-24,NYFED,EFFR,ON,7
2021-03-24,NYFED,SOFR,ON,1
2021-03-24,UST,DGS2,2Y,14
2021-03-24,UST,DGS5,5Y,83
2021-03-25,NYFED,EFFR,ON,7
2021-03-25,NYFED,SOFR,ON,1
2021-03-25,UST,DGS2,2Y,14
2021-03-25,UST,DGS5,5Y,82
2021-03-26,NYFED,EFFR,ON,7
2021-03-26,NYFED,SOFR,ON,1
2021-03-26,UST,DGS2,2Y,14
2021-03-26,UST,DGS5,5Y,85
2021-03-29,NYFED,EFFR,ON,7
2021-03-29,NYFED,SOFR,ON,1
2021-03-29,UST,DGS2,2Y,14
2021-03-29,UST,DGS5,5Y,89
2021-03-30,NYFED,EFFR,ON,7
2021-03-30,NYFED,SOFR,ON,1
2021-03-30,UST,DGS2,2Y,16
2021-03-30,UST,DGS5,5Y,90
2021-03-31,NYFED,EFFR,ON,6
2021-03-31,NYFED,SOFR,ON,1
2021-03-31,UST,DGS2,2Y,16
2021-03-31,UST,DGS5,5Y,92
2021-04-01,NYFED,EFFR,ON,7
2021-04-01,NYFED,SOFR,ON,1
2021-04-01,UST,DGS2,2Y,17
2021-04-01,UST,DGS5,5Y,90
2021-04-02,NYFED,EFFR,ON,7
2021-04-02,UST,DGS2,2Y,19
2021-04-02,UST,DGS5,5Y,97
2021-04-05,NYFED,EFFR,ON,7
2021-04-05,NYFED,SOFR,ON,1
2021-04-05,UST,DGS2,2Y,17
2021-04-05,UST,DGS5,5Y,94
2021-04-06,NYFED,EFFR,ON,7
2021-04-06,NYFED,SOFR,ON,1
2021-04-06,UST,DGS2,2Y,16
2021-04-06,UST,DGS5,5Y,88
2021-04-07,NYFED,EFFR,ON,7
2021-04-07,NYFED,SOFR,ON,1
2021-04-07,UST,DGS2,2Y,16
2021-04-07,UST,DGS5,5Y,87
2021-04-08,NYFED,EFFR,ON,7
2021-04-08,NYFED,SOFR,ON,1
2021-04-08,UST,DGS2,2Y,14
2021-04-08,UST,DGS5,5Y,85
2021-04-09,NYFED,EFFR,ON,7
2021-04-09,NYFED,SOFR,ON,1
2021-04-09,UST,DGS2,2Y,16
2021-04-09,UST,DGS5,5Y,87
2021-04-12,NYFED,EFFR,ON,7
2021-04-12,NYFED,SOFR,ON,1
2021-04-12,UST,DGS2,2Y,18
2021-04-12,UST,DGS5,5Y,89
2021-04-13,NYFED,EFFR,ON,7
2021-04-13,NYFED,SOFR,ON,1
2021-04-13,UST,DGS2,2Y,16
2021-04-13,UST,DGS5,5Y,85
2021-04-14,NYFED,EFFR,ON,7
2021-04-14,NYFED,SOFR,ON,1
2021-04-14,UST,DGS2,2Y,16
2021-04-14,UST,DGS5,5Y,87
2021-04-15,NYFED,EFFR,ON,7
2021-04-15,NYFED,SOFR,ON,1
2021-04-15,UST,DGS2,2Y,16
2021-04-15,UST,DGS5,5Y,81
2021-04-16,NYFED,EFFR,ON,7
2021-04-16,NYFED,SOFR,ON,1
2021-04-16,UST,DGS2,2Y,16
2021-04-16,UST,DGS5,5Y,84
2021-04-19,NYFED,EFFR,ON,7
2021-04-19,NYFED,SOFR,ON,1
2021-04-19,UST,DGS2,2Y,16
2021-04-19,UST,DGS5,5Y,85
2021-04-20,NYFED,EFFR,ON,7
2021-04-20,NYFED,SOFR,ON,1
2021-04-20,UST,DGS2,2Y,15
2021-04-20,UST,DGS5,5Y,81
2021-04-21,NYFED,EFFR,ON,7
2021-04-21,NYFED,SOFR,ON,1
2021-04-21,UST,DGS2,2Y,15
2021-04-21,UST,DGS5,5Y,81
2021-04-22,NYFED,EFFR,ON,7
2021-04-22,NYFED,SOFR,ON,1
2021-04-22,UST,DGS2,2Y,16
2021-04-22,UST,DGS5,5Y,81
2021-04-23,NYFED,EFFR,ON,7
2021-04-23,NYFED,SOFR,ON,1
2021-04-23,UST,DGS2,2Y,16
2021-04-23,UST,DGS5,5Y,83
2021-04-26,NYFED,EFFR,ON,7
2021-04-26,NYFED,SOFR,ON,1
2021-04-26,UST,DGS2,2Y,18
2021-04-26,UST,DGS5,5Y,85
2021-04-27,NYFED,EFFR,ON,7
2021-04-27,NYFED,SOFR,ON,1
2021-04-27,UST,DGS2,2Y,17
2021-04-27,UST,DGS5,5Y,88
2021-04-28,NYFED,EFFR,ON,7
2021-04-28,NYFED,SOFR,ON,1
2021-04-28,UST,DGS2,2Y,17
2021-04-28,UST,DGS5,5Y,86
2021-04-29,NYFED,EFFR,ON,6
2021-04-29,NYFED,SOFR,ON,1
2021-04-29,UST,DGS2,2Y,16
2021-04-29,UST,DGS5,5Y,86
2021-04-30,NYFED,EFFR,ON,5
2021-04-30,NYFED,SOFR,ON,1
2021-04-30,UST,DGS2,2Y,16
2021-04-30,UST,DGS5,5Y,86
2021-05-03,NYFED,EFFR,ON,6
2021-05-03,NYFED,SOFR,ON,1
2021-05-03,UST,DGS2,2Y,16
2021-05-03,UST,DGS5,5Y,84
2021-05-04,NYFED,EFFR,ON,6
2021-05-04,NYFED,SOFR,ON,1
2021-05-04,UST,DGS2,2Y,16
2021-05-04,UST,DGS5,5Y,82
2021-05-05,NYFED,EFFR,ON,6
2021-05-05,NYFED,SOFR,ON,1
2021-05-05,UST,DGS2,2Y,16
2021-05-05,UST,DGS5,5Y,80
2021-05-06,NYFED,EFFR,ON,6
2021-05-06,NYFED,SOFR,ON,1
2021-05-06,UST,DGS2,2Y,16
2021-05-06,UST,DGS5,5Y,81
2021-05-07,NYFED,EFFR,ON,6
2021-05-07,NYFED,SOFR,ON,1
2021-05-07,UST,DGS2,2Y,14
2021-05-07,UST,DGS5,5Y,77
2021-05-10,NYFED,EFFR,ON,6
2021-05-10,NYFED,SOFR,ON,1
2021-05-10,UST,DGS2,2Y,16
2021-05-10,UST,DGS5,5Y,80
2021-05-11,NYFED,EFFR,ON,6
2021-05-11,NYFED,SOFR,ON,1
2021-05-11,UST,DGS2,2Y,16
2021-05-11,UST,DGS5,5Y,80
2021-05-12,NYFED,EFFR,ON,6
2021-05-12,NYFED,SOFR,ON,1
2021-05-12,UST,DGS2,2Y,16
2021-05-12,UST,DGS5,5Y,87
2021-05-13,NYFED,EFFR,ON,6
2021-05-13,NYFED,SOFR,ON,1
2021-05-13,UST,DGS2,2Y,16
2021-05-13,UST,DGS5,5Y,84
2021-05-14,NYFED,EFFR,ON,6
2021-05-14,NYFED,SOFR,ON,1
2021-05-14,UST,DGS2,2Y,16
2021-05-14,UST,DGS5,5Y,82
2021-05-17,NYFED,EFFR,ON,6
2021-05-17,NYFED,SOFR,ON,1
2021-05-17,UST,DGS2,2Y,16
2021-05-17,UST,DGS5,5Y,84
2021-05-18,NYFED,EFFR,ON,6
2021-05-18,NYFED,SOFR,ON,1
2021-05-18,UST,DGS2,2Y,16
2021-05-18,UST,DGS5,5Y,83
2021-05-19,NYFED,EFFR,ON,6
2021-05-19,NYFED,SOFR,ON,1
2021-05-19,UST,DGS2,2Y,16
2021-05-19,UST,DGS5,5Y,87
2021-05-20,NYFED,EFFR,ON,6
2021-05-20,NYFED,SOFR,ON,1
2021-05-20,UST,DGS2,2Y,15
2021-05-20,UST,DGS5,5Y,83
2021-05-21,NYFED,EFFR,ON,6
2021-05-21,NYFED,SOFR,ON,1
2021-05-21,UST,DGS2,2Y,17
2021-05-21,UST,DGS5,5Y,84
2021-05-24,NYFED,EFFR,ON,6
2021-05-24,NYFED,SOFR,ON,1
2021-05-24,UST,DGS2,2Y,15
2021-05-24,UST,DGS5,5Y,82
2021-05-25,NYFED,EFFR,ON,6
2021-05-25,NYFED,SOFR,ON,1
2021-05-25,UST,DGS2,2Y,15
2021-05-25,UST,DGS5,5Y,79
2021-05-26,NYFED,EFFR,ON,6
2021-05-26,NYFED,SOFR,ON,1
2021-05-26,UST,DGS2,2Y,14
2021-05-26,UST,DGS5,5Y,80
2021-05-27,NYFED,EFFR,ON,6
2021-05-27,NYFED,SOFR,ON,1
2021-05-27,UST,DGS2,2Y,14
2021-05-27,UST,DGS5,5Y,81
2021-05-28,NYFED,EFFR,ON,5
2021-05-28,NYFED,SOFR,ON,1
2021-05-28,UST,DGS2,2Y,14
2021-05-28,UST,DGS5,5Y,79
2021-06-01,NYFED,EFFR,ON,6
2021-06-01,NYFED,SOFR,ON,1
2021-06-01,UST,DGS2,2Y,16
2021-06-01,UST,DGS5,5Y,81
2021-06-02,NYFED,EFFR,ON,6
2021-06-02,NYFED,SOFR,ON,1
2021-06-02,UST,DGS2,2Y,13
2021-06-02,UST,DGS5,5Y,80
2021-06-03,NYFED,EFFR,ON,6
2021-06-03,NYFED,SOFR,ON,1
2021-06-03,UST,DGS2,2Y,16
2021-06-03,UST,DGS5,5Y,84
2021-06-04,NYFED,EFFR,ON,6
2021-06-04,NYFED,SOFR,ON,1
2021-06-04,UST,DGS2,2Y,14
2021-06-04,UST,DGS5,5Y,78
2021-06-07,NYFED,EFFR,ON,6
2021-06-07,NYFED,SOFR,ON,1
2021-06-07,UST,DGS2,2Y,16
2021-06-07,UST,DGS5,5Y,79
2021-06-08,NYFED,EFFR,ON,6
2021-06-08,NYFED,SOFR,ON,1
2021-06-08,UST,DGS2,2Y,14
2021-06-08,UST,DGS5,5Y,77
2021-06-09,NYFED,EFFR,ON,6
2021-06-09,NYFED,SOFR,ON,1
2021-06-09,UST,DGS2,2Y,16
2021-06-09,UST,DGS5,5Y,75
2021-06-10,NYFED,EFFR,ON,6
2021-06-10,NYFED,SOFR,ON,1
2021-06-10,UST,DGS2,2Y,14
2021-06-10,UST,DGS5,5Y,73
2021-06-11,NYFED,EFFR,ON,6
2021-06-11,NYFED,SOFR,ON,1
2021-06-11,UST,DGS2,2Y,16
2021-06-11,UST,DGS5,5Y,76
2021-06-14,NYFED,EFFR,ON,6
2021-06-14,NYFED,SOFR,ON,1
2021-06-14,UST,DGS2,2Y,16
2021-06-14,UST,DGS5,5Y,80
2021-06-15,NYFED,EFFR,ON,6
2021-06-15,NYFED,SOFR,ON,1
2021-06-15,UST,DGS2,2Y,16
2021-06-15,UST,DGS5,5Y,79
2021-06-16,NYFED,EFFR,ON,6
2021-06-16,NYFED,SOFR,ON,1
2021-06-16,UST,DGS2,2Y,21
2021-06-16,UST,DGS5,5Y,89
2021-06-17,NYFED,EFFR,ON,10
2021-06-17,NYFED,SOFR,ON,5
2021-06-17,UST,DGS2,2Y,23
2021-06-17,UST,DGS5,5Y,90
2021-06-18,NYFED,EFFR,ON,10
2021-06-18,NYFED,SOFR,ON,5
2021-06-18,UST,DGS2,2Y,26
2021-06-18,UST,DGS5,5Y,89
2021-06-21,NYFED,EFFR,ON,10
2021-06-21,NYFED,SOFR,ON,5
2021-06-21,UST,DGS2,2Y,27
2021-06-21,UST,DGS5,5Y,90
2021-06-22,NYFED,EFFR,ON,10
2021-06-22,NYFED,SOFR,ON,5
2021-06-22,UST,DGS2,2Y,25
2021-06-22,UST,DGS5,5Y,87
2021-06-23,NYFED,EFFR,ON,10
2021-06-23,NYFED,SOFR,ON,5
2021-06-23,UST,DGS2,2Y,26
2021-06-23,UST,DGS5,5Y,90
2021-06-24,NYFED,EFFR,ON,10
2021-06-24,NYFED,SOFR,ON,5
2021-06-24,UST,DGS2,2Y,26
2021-06-24,UST,DGS5,5Y,90
2021-06-25,NYFED,EFFR,ON,10
2021-06-25,NYFED,SOFR,ON,5
2021-06-25,UST,DGS2,2Y,28
2021-06-25,UST,DGS5,5Y,92
2021-06-28,NYFED,EFFR,ON,10
2021-06-28,NYFED,SOFR,ON,5
2021-06-28,UST,DGS2,2Y,25
2021-06-28,UST,DGS5,5Y,90
2021-06-29,NYFED,EFFR,ON,10
2021-06-29,NYFED,SOFR,ON,5
2021-06-29,UST,DGS2,2Y,27
2021-06-29,UST,DGS5,5Y,89
2021-06-30,NYFED,EFFR,ON,8
2021-06-30,NYFED,SOFR,ON,5
2021-06-30,UST,DGS2,2Y,25
2021-06-30,UST,DGS5,5Y,87
2021-07-01,NYFED,EFFR,ON,10
2021-07-01,NYFED,SOFR,ON,5
2021-07-01,UST,DGS2,2Y,25
2021-07-01,UST,DGS5,5Y,89
2021-07-02,NYFED,EFFR,ON,10
2021-07-02,NYFED,SOFR,ON,5
2021-07-02,UST,DGS2,2Y,24
2021-07-02,UST,DGS5,5Y,86
2021-07-06,NYFED,EFFR,ON,10
2021-07-06,NYFED,SOFR,ON,5
2021-07-06,UST,DGS2,2Y,22
2021-07-06,UST,DGS5,5Y,81
2021-07-07,NYFED,EFFR,ON,10
2021-07-07,NYFED,SOFR,ON,5
2021-07-07,UST,DGS2,2Y,22
2021-07-07,UST,DGS5,5Y,79
2021-07-08,NYFED,EFFR,ON,10
2021-07-08,NYFED,SOFR,ON,5
2021-07-08,UST,DGS2,2Y,19
2021-07-08,UST,DGS5,5Y,74
2021-07-09,NYFED,EFFR,ON,10
2021-07-09,NYFED,SOFR,ON,5
2021-07-09,UST,DGS2,2Y,23
