observation_date,source,series_id,maturity,rate_bps
2024-01-02,NYFED,EFFR,ON,533
2024-01-02,NYFED,SOFR,ON,540
2024-01-02,UST,DGS2,2Y,433
2024-01-02,UST,DGS5,5Y,393
2024-01-03,NYFED,EFFR,ON,533
2024-01-03,NYFED,SOFR,ON,539
2024-01-03,UST,DGS2,2Y,433
2024-01-03,UST,DGS5,5Y,390
2024-01-04,NYFED,EFFR,ON,533
2024-01-04,NYFED,SOFR,ON,532
2024-01-04,UST,DGS2,2Y,438
2024-01-04,UST,DGS5,5Y,397
2024-01-05,NYFED,EFFR,ON,533
2024-01-05,NYFED,SOFR,ON,531
2024-01-05,UST,DGS2,2Y,440
2024-01-05,UST,DGS5,5Y,402
2024-01-08,NYFED,EFFR,ON,533
2024-01-08,NYFED,SOFR,ON,531
2024-01-08,UST,DGS2,2Y,436
2024-01-08,UST,DGS5,5Y,397
2024-01-09,NYFED,EFFR,ON,533
2024-01-09,NYFED,SOFR,ON,531
2024-01-09,UST,DGS2,2Y,436
2024-01-09,UST,DGS5,5Y,397
2024-01-10,NYFED,EFFR,ON,533
2024-01-10,NYFED,SOFR,ON,531
2024-01-10,UST,DGS2,2Y,437
2024-01-10,UST,DGS5,5Y,399
2024-01-11,NYFED,EFFR,ON,533
2024-01-11,NYFED,SOFR,ON,531
2024-01-11,UST,DGS2,2Y,426
2024-01-11,UST,DGS5,5Y,390
2024-01-12,NYFED,EFFR,ON,533
2024-01-12,NYFED,SOFR,ON,531
2024-01-12,UST,DGS2,2Y,414
2024-01-12,UST,DGS5,5Y,384
2024-01-16,NYFED,EFFR,ON,533
2024-01-16,NYFED,SOFR,ON,532
2024-01-16,UST,DGS2,2Y,422
2024-01-16,UST,DGS5,5Y,395
2024-01-17,NYFED,EFFR,ON,533
2024-01-17,NYFED,SOFR,ON,532
2024-01-17,UST,DGS2,2Y,434
2024-01-17,UST,DGS5,5Y,402
2024-01-18,NYFED,EFFR,ON,533
2024-01-18,NYFED,SOFR,ON,531
2024-01-18,UST,DGS2,2Y,434
2024-01-18,UST,DGS5,5Y,404
2024-01-19,NYFED,EFFR,ON,533
2024-01-19,NYFED,SOFR,ON,531
2024-01-19,UST,DGS2,2Y,439
2024-01-19,UST,DGS5,5Y,408
2024-01-22,NYFED,EFFR,ON,533
2024-01-22,NYFED,SOFR,ON,531
2024-01-22,UST,DGS2,2Y,437
2024-01-22,UST,DGS5,5Y,403
2024-01-23,NYFED,EFFR,ON,533
2024-01-23,NYFED,SOFR,ON,531
2024-01-23,UST,DGS2,2Y,431
2024-01-23,UST,DGS5,5Y,406
2024-01-24,NYFED,EFFR,ON,533
2024-01-24,NYFED,SOFR,ON,531
2024-01-24,UST,DGS2,2Y,434
2024-01-24,UST,DGS5,5Y,406
2024-01-25,NYFED,EFFR,ON,533
2024-01-25,NYFED,SOFR,ON,532
2024-01-25,UST,DGS2,2Y,428
2024-01-25,UST,DGS5,5Y,401
2024-01-26,NYFED,EFFR,ON,533
2024-01-26,NYFED,SOFR,ON,532
2024-01-26,UST,DGS2,2Y,434
2024-01-26,UST,DGS5,5Y,404
2024-01-29,NYFED,EFFR,ON,533
2024-01-29,NYFED,SOFR,ON,531
2024-01-29,UST,DGS2,2Y,429
2024-01-29,UST,DGS5,5Y,397
2024-01-30,NYFED,EFFR,ON,533
2024-01-30,NYFED,SOFR,ON,531
2024-01-30,UST,DGS2,2Y,436
2024-01-30,UST,DGS5,5Y,400
2024-01-31,NYFED,EFFR,ON,533
2024-01-31,NYFED,SOFR,ON,532
2024-01-31,UST,DGS2,2Y,427
2024-01-31,UST,DGS5,5Y,391
2024-02-01,NYFED,EFFR,ON,533
2024-02-01,NYFED,SOFR,ON,532
2024-02-01,UST,DGS2,2Y,420
2024-02-01,UST,DGS5,5Y,380
2024-02-02,NYFED,EFFR,ON,533
2024-02-02,NYFED,SOFR,ON,532
2024-02-02,UST,DGS2,2Y,436
2024-02-02,UST,DGS5,5Y,399
2024-02-05,NYFED,EFFR,ON,533
2024-02-05,NYFED,SOFR,ON,531
2024-02-05,UST,DGS2,2Y,446
2024-02-05,UST,DGS5,5Y,413
2024-02-06,NYFED,EFFR,ON,533
2024-02-06,NYFED,SOFR,ON,531
2024-02-06,UST,DGS2,2Y,439
2024-02-06,UST,DGS5,5Y,403
2024-02-07,NYFED,EFFR,ON,533
2024-02-07,NYFED,SOFR,ON,531
2024-02-07,UST,DGS2,2Y,441
2024-02-07,UST,DGS5,5Y,406
2024-02-08,NYFED,EFFR,ON,533
2024-02-08,NYFED,SOFR,ON,531
2024-02-08,UST,DGS2,2Y,446
2024-02-08,UST,DGS5,5Y,412
2024-02-09,NYFED,EFFR,ON,533
2024-02-09,NYFED,SOFR,ON,531
2024-02-09,UST,DGS2,2Y,448
2024-02-09,UST,DGS5,5Y,414
2024-02-12,NYFED,EFFR,ON,533
2024-02-12,NYFED,SOFR,ON,531
2024-02-12,UST,DGS2,2Y,446
2024-02-12,UST,DGS5,5Y,413
2024-02-13,NYFED,EFFR,ON,533
2024-02-13,NYFED,SOFR,ON,531
2024-02-13,UST,DGS2,2Y,464
2024-02-13,UST,DGS5,5Y,431
2024-02-14,NYFED,EFFR,ON,533
2024-02-14,NYFED,SOFR,ON,530
2024-02-14,UST,DGS2,2Y,456
2024-02-14,UST,DGS5,5Y,425
2024-02-15,NYFED,EFFR,ON,533
2024-02-15,NYFED,SOFR,ON,531
2024-02-15,UST,DGS2,2Y,456
2024-02-15,UST,DGS5,5Y,422
2024-02-16,NYFED,EFFR,ON,533
2024-02-16,NYFED,SOFR,ON,530
2024-02-16,UST,DGS2,2Y,464
2024-02-16,UST,DGS5,5Y,429
2024-02-20,NYFED,EFFR,ON,533
2024-02-20,NYFED,SOFR,ON,530
2024-02-20,UST,DGS2,2Y,459
2024-02-20,UST,DGS5,5Y,425
2024-02-21,NYFED,EFFR,ON,533
2024-02-21,NYFED,SOFR,ON,530
2024-02-21,UST,DGS2,2Y,464
2024-02-21,UST,DGS5,5Y,430
2024-02-22,NYFED,EFFR,ON,533
2024-02-22,NYFED,SOFR,ON,530
2024-02-22,UST,DGS2,2Y,469
2024-02-22,UST,DGS5,5Y,433
2024-02-23,NYFED,EFFR,ON,533
