observation_date,source,series_id,maturity,rate_bps
2018-01-02,NYFED,EFFR,ON,142
2018-01-02,UST,DGS2,2Y,192
2018-01-02,UST,DGS5,5Y,225
2018-01-03,NYFED,EFFR,ON,142
2018-01-03,UST,DGS2,2Y,194
2018-01-03,UST,DGS5,5Y,225
2018-01-04,NYFED,EFFR,ON,142
2018-01-04,UST,DGS2,2Y,196
2018-01-04,UST,DGS5,5Y,227
2018-01-05,NYFED,EFFR,ON,142
2018-01-05,UST,DGS2,2Y,196
2018-01-05,UST,DGS5,5Y,229
2018-01-08,NYFED,EFFR,ON,142
2018-01-08,UST,DGS2,2Y,196
2018-01-08,UST,DGS5,5Y,229
2018-01-09,NYFED,EFFR,ON,142
2018-01-09,UST,DGS2,2Y,198
2018-01-09,UST,DGS5,5Y,233
2018-01-10,NYFED,EFFR,ON,142
2018-01-10,UST,DGS2,2Y,198
2018-01-10,UST,DGS5,5Y,232
2018-01-11,NYFED,EFFR,ON,142
2018-01-11,UST,DGS2,2Y,198
2018-01-11,UST,DGS5,5Y,232
2018-01-12,NYFED,EFFR,ON,142
2018-01-12,UST,DGS2,2Y,199
2018-01-12,UST,DGS5,5Y,235
2018-01-16,NYFED,EFFR,ON,142
2018-01-16,UST,DGS2,2Y,203
2018-01-16,UST,DGS5,5Y,236
2018-01-17,NYFED,EFFR,ON,142
2018-01-17,UST,DGS2,2Y,205
2018-01-17,UST,DGS5,5Y,239
2018-01-18,NYFED,EFFR,ON,142
2018-01-18,UST,DGS2,2Y,205
2018-01-18,UST,DGS5,5Y,243
2018-01-19,NYFED,EFFR,ON,142
2018-01-19,UST,DGS2,2Y,206
2018-01-19,UST,DGS5,5Y,245
2018-01-22,NYFED,EFFR,ON,142
2018-01-22,UST,DGS2,2Y,208
2018-01-22,UST,DGS5,5Y,246
2018-01-23,NYFED,EFFR,ON,142
2018-01-23,UST,DGS2,2Y,206
2018-01-23,UST,DGS5,5Y,243
2018-01-24,NYFED,EFFR,ON,142
2018-01-24,UST,DGS2,2Y,208
2018-01-24,UST,DGS5,5Y,243
2018-01-25,NYFED,EFFR,ON,142
2018-01-25,UST,DGS2,2Y,208
2018-01-25,UST,DGS5,5Y,241
2018-01-26,NYFED,EFFR,ON,142
2018-01-26,UST,DGS2,2Y,213
2018-01-26,UST,DGS5,5Y,247
2018-01-29,NYFED,EFFR,ON,142
2018-01-29,UST,DGS2,2Y,211
2018-01-29,UST,DGS5,5Y,249
2018-01-30,NYFED,EFFR,ON,142
2018-01-30,UST,DGS2,2Y,213
2018-01-30,UST,DGS5,5Y,251
2018-01-31,NYFED,EFFR,ON,134
2018-01-31,UST,DGS2,2Y,214
2018-01-31,UST,DGS5,5Y,252
2018-02-01,NYFED,EFFR,ON,142
2018-02-01,UST,DGS2,2Y,216
2018-02-01,UST,DGS5,5Y,256
2018-02-02,NYFED,EFFR,ON,142
2018-02-02,UST,DGS2,2Y,215
2018-02-02,UST,DGS5,5Y,258
2018-02-05,NYFED,EFFR,ON,142
2018-02-05,UST,DGS2,2Y,208
2018-02-05,UST,DGS5,5Y,250
2018-02-06,NYFED,EFFR,ON,142
2018-02-06,UST,DGS2,2Y,210
2018-02-06,UST,DGS5,5Y,252
2018-02-07,NYFED,EFFR,ON,142
2018-02-07,UST,DGS2,2Y,215
2018-02-07,UST,DGS5,5Y,257
2018-02-08,NYFED,EFFR,ON,142
2018-02-08,UST,DGS2,2Y,213
2018-02-08,UST,DGS5,5Y,257
2018-02-09,NYFED,EFFR,ON,142
2018-02-09,UST,DGS2,2Y,205
2018-02-09,UST,DGS5,5Y,252
2018-02-12,NYFED,EFFR,ON,142
2018-02-12,UST,DGS2,2Y,209
2018-02-12,UST,DGS5,5Y,256
2018-02-13,NYFED,EFFR,ON,142
2018-02-13,UST,DGS2,2Y,210
2018-02-13,UST,DGS5,5Y,254
2018-02-14,NYFED,EFFR,ON,142
2018-02-14,UST,DGS2,2Y,217
2018-02-14,UST,DGS5,5Y,265
2018-02-15,NYFED,EFFR,ON,142
2018-02-15,UST,DGS2,2Y,219
2018-02-15,UST,DGS5,5Y,265
2018-02-16,NYFED,EFFR,ON,142
2018-02-16,UST,DGS2,2Y,221
2018-02-16,UST,DGS5,5Y,263
2018-02-20,NYFED,EFFR,ON,142
2018-02-20,UST,DGS2,2Y,225
2018-02-20,UST,DGS5,5Y,265
2018-02-21,NYFED,EFFR,ON,142
2018-02-21,UST,DGS2,2Y,226
2018-02-21,UST,DGS5,5Y,269
2018-02-22,NYFED,EFFR,ON,142
2018-02-22,UST,DGS2,2Y,225
2018-02-22,UST,DGS5,5Y,266
2018-02-23,NYFED,EFFR,ON,142
2018-02-23,UST,DGS2,2Y,225
2018-02-23,UST,DGS5,5Y,262
2018-02-26,NYFED,EFFR,ON,142
2018-02-26,UST,DGS2,2Y,222
2018-02-26,UST,DGS5,5Y,260
2018-02-27,NYFED,EFFR,ON,142
2018-02-27,UST,DGS2,2Y,227
2018-02-27,UST,DGS5,5Y,267
2018-02-28,NYFED,EFFR,ON,135
2018-02-28,UST,DGS2,2Y,225
2018-02-28,UST,DGS5,5Y,265
2018-03-01,NYFED,EFFR,ON,142
2018-03-01,UST,DGS2,2Y,222
