observation_date,source,series_id,maturity,rate_bps
2022-01-03,NYFED,EFFR,ON,8
2022-01-03,NYFED,SOFR,ON,5
2022-01-03,UST,DGS2,2Y,78
2022-01-03,UST,DGS5,5Y,137
2022-01-04,NYFED,EFFR,ON,8
2022-01-04,NYFED,SOFR,ON,5
2022-01-04,UST,DGS2,2Y,77
2022-01-04,UST,DGS5,5Y,137
2022-01-05,NYFED,EFFR,ON,8
2022-01-05,NYFED,SOFR,ON,5
2022-01-05,UST,DGS2,2Y,83
2022-01-05,UST,DGS5,5Y,143
2022-01-06,NYFED,EFFR,ON,8
2022-01-06,NYFED,SOFR,ON,5
2022-01-06,UST,DGS2,2Y,88
2022-01-06,UST,DGS5,5Y,147
2022-01-07,NYFED,EFFR,ON,8
2022-01-07,NYFED,SOFR,ON,5
2022-01-07,UST,DGS2,2Y,87
2022-01-07,UST,DGS5,5Y,150
2022-01-10,NYFED,EFFR,ON,8
2022-01-10,NYFED,SOFR,ON,5
2022-01-10,UST,DGS2,2Y,92
2022-01-10,UST,DGS5,5Y,153
2022-01-11,NYFED,EFFR,ON,8
2022-01-11,NYFED,SOFR,ON,5
2022-01-11,UST,DGS2,2Y,90
2022-01-11,UST,DGS5,5Y,151
2022-01-12,NYFED,EFFR,ON,8
2022-01-12,NYFED,SOFR,ON,5
2022-01-12,UST,DGS2,2Y,92
2022-01-12,UST,DGS5,5Y,150
2022-01-13,NYFED,EFFR,ON,8
2022-01-13,NYFED,SOFR,ON,5
2022-01-13,UST,DGS2,2Y,91
2022-01-13,UST,DGS5,5Y,147
2022-01-14,NYFED,EFFR,ON,8
2022-01-14,NYFED,SOFR,ON,5
2022-01-14,UST,DGS2,2Y,99
2022-01-14,UST,DGS5,5Y,155
2022-01-18,NYFED,EFFR,ON,8
2022-01-18,NYFED,SOFR,ON,5
2022-01-18,UST,DGS2,2Y,106
2022-01-18,UST,DGS5,5Y,165
2022-01-19,NYFED,EFFR,ON,8
2022-01-19,NYFED,SOFR,ON,5
2022-01-19,UST,DGS2,2Y,104
2022-01-19,UST,DGS5,5Y,162
2022-01-20,NYFED,EFFR,ON,8
2022-01-20,NYFED,SOFR,ON,4
2022-01-20,UST,DGS2,2Y,108
2022-01-20,UST,DGS5,5Y,162
2022-01-21,NYFED,EFFR,ON,8
2022-01-21,NYFED,SOFR,ON,5
2022-01-21,UST,DGS2,2Y,101
2022-01-21,UST,DGS5,5Y,154
2022-01-24,NYFED,EFFR,ON,8
2022-01-24,NYFED,SOFR,ON,4
2022-01-24,UST,DGS2,2Y,99
2022-01-24,UST,DGS5,5Y,153
2022-01-25,NYFED,EFFR,ON,8
2022-01-25,NYFED,SOFR,ON,5
2022-01-25,UST,DGS2,2Y,102
2022-01-25,UST,DGS5,5Y,156
2022-01-26,NYFED,EFFR,ON,8
2022-01-26,NYFED,SOFR,ON,4
2022-01-26,UST,DGS2,2Y,113
2022-01-26,UST,DGS5,5Y,166
2022-01-27,NYFED,EFFR,ON,8
2022-01-27,NYFED,SOFR,ON,4
2022-01-27,UST,DGS2,2Y,118
2022-01-27,UST,DGS5,5Y,166
2022-01-28,NYFED,EFFR,ON,8
2022-01-28,NYFED,SOFR,ON,5
