observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2020-09-04,ERIS-YIT-202012,19.09,-1,eris_settlement_dv01
2020-09-04,ERIS-YIW-202012,47.58,-1,eris_settlement_dv01
2020-09-04,YAHOO-CONTINUOUS-ZF,47.58,-1,cme_fixed_ics_ratio_proxy
2020-09-04,YAHOO-CONTINUOUS-ZT,38.18,-1,cme_fixed_ics_ratio_proxy
2020-09-08,ERIS-YIT-202012,19.52,-1,eris_settlement_dv01
2020-09-08,ERIS-YIW-202012,48.08,-1,eris_settlement_dv01
2020-09-08,YAHOO-CONTINUOUS-ZF,48.08,-1,cme_fixed_ics_ratio_proxy
2020-09-08,YAHOO-CONTINUOUS-ZT,39.04,-1,cme_fixed_ics_ratio_proxy
2020-09-09,ERIS-YIT-202012,19.86,-1,eris_settlement_dv01
2020-09-09,ERIS-YIW-202012,49.9,-1,eris_settlement_dv01
2020-09-09,YAHOO-CONTINUOUS-ZF,49.9,-1,cme_fixed_ics_ratio_proxy
2020-09-09,YAHOO-CONTINUOUS-ZT,39.72,-1,cme_fixed_ics_ratio_proxy
2020-09-10,ERIS-YIT-202012,19.62,-1,eris_settlement_dv01
2020-09-10,ERIS-YIW-202012,49.98,-1,eris_settlement_dv01
2020-09-10,YAHOO-CONTINUOUS-ZF,49.98,-1,cme_fixed_ics_ratio_proxy
2020-09-10,YAHOO-CONTINUOUS-ZT,39.24,-1,cme_fixed_ics_ratio_proxy
2020-09-11,ERIS-YIT-202012,20.01,-1,eris_settlement_dv01
2020-09-11,ERIS-YIW-202012,49.99,-1,eris_settlement_dv01
2020-09-11,YAHOO-CONTINUOUS-ZF,49.99,-1,cme_fixed_ics_ratio_proxy
2020-09-11,YAHOO-CONTINUOUS-ZT,40.02,-1,cme_fixed_ics_ratio_proxy
2020-09-14,ERIS-YIT-202012,20.03,-1,eris_settlement_dv01
2020-09-14,ERIS-YIW-202012,50.02,-1,eris_settlement_dv01
2020-09-14,YAHOO-CONTINUOUS-ZF,50.02,-1,cme_fixed_ics_ratio_proxy
2020-09-14,YAHOO-CONTINUOUS-ZT,40.06,-1,cme_fixed_ics_ratio_proxy
2020-09-15,ERIS-YIT-202012,19.97,-1,eris_settlement_dv01
2020-09-15,ERIS-YIW-202012,50.05,-1,eris_settlement_dv01
