observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2021-01-26,YAHOO-CONTINUOUS-ZF,48.53,-1,cme_fixed_ics_ratio_proxy
2021-01-26,YAHOO-CONTINUOUS-ZT,39.74,-1,cme_fixed_ics_ratio_proxy
2021-01-27,ERIS-YIT-202109,19.91,-1,eris_settlement_dv01
2021-01-27,ERIS-YIW-202012,48.61,-1,eris_settlement_dv01
2021-01-27,YAHOO-CONTINUOUS-ZF,48.61,-1,cme_fixed_ics_ratio_proxy
2021-01-27,YAHOO-CONTINUOUS-ZT,39.82,-1,cme_fixed_ics_ratio_proxy
2021-01-28,ERIS-YIT-202109,19.73,-1,eris_settlement_dv01
2021-01-28,ERIS-YIW-202012,48.43,-1,eris_settlement_dv01
2021-01-28,YAHOO-CONTINUOUS-ZF,48.43,-1,cme_fixed_ics_ratio_proxy
2021-01-28,YAHOO-CONTINUOUS-ZT,39.46,-1,cme_fixed_ics_ratio_proxy
2021-01-29,ERIS-YIT-202109,19.67,-1,eris_settlement_dv01
2021-01-29,ERIS-YIW-202012,48.38,-1,eris_settlement_dv01
2021-01-29,YAHOO-CONTINUOUS-ZF,48.38,-1,cme_fixed_ics_ratio_proxy
2021-01-29,YAHOO-CONTINUOUS-ZT,39.34,-1,cme_fixed_ics_ratio_proxy
2021-02-01,ERIS-YIT-202109,19.49,-1,eris_settlement_dv01
2021-02-01,ERIS-YIW-202012,48.43,-1,eris_settlement_dv01
2021-02-01,YAHOO-CONTINUOUS-ZF,48.43,-1,cme_fixed_ics_ratio_proxy
2021-02-01,YAHOO-CONTINUOUS-ZT,38.98,-1,cme_fixed_ics_ratio_proxy
2021-02-02,ERIS-YIT-202109,20.19,-1,eris_settlement_dv01
2021-02-02,ERIS-YIW-202012,48.76,-1,eris_settlement_dv01
2021-02-02,YAHOO-CONTINUOUS-ZF,48.76,-1,cme_fixed_ics_ratio_proxy
2021-02-02,YAHOO-CONTINUOUS-ZT,40.38,-1,cme_fixed_ics_ratio_proxy
2021-02-03,ERIS-YIT-202109,19.42,-1,eris_settlement_dv01
2021-02-03,ERIS-YIW-202012,48.22,-1,eris_settlement_dv01
2021-02-03,YAHOO-CONTINUOUS-ZF,48.22,-1,cme_fixed_ics_ratio_proxy
2021-02-03,YAHOO-CONTINUOUS-ZT,38.84,-1,cme_fixed_ics_ratio_proxy
2021-02-04,ERIS-YIT-202109,19.28,-1,eris_settlement_dv01
2021-02-04,ERIS-YIW-202012,48.14,-1,eris_settlement_dv01
2021-02-04,YAHOO-CONTINUOUS-ZF,48.14,-1,cme_fixed_ics_ratio_proxy
2021-02-04,YAHOO-CONTINUOUS-ZT,38.56,-1,cme_fixed_ics_ratio_proxy
2021-02-05,ERIS-YIT-202109,19.27,-1,eris_settlement_dv01
2021-02-05,ERIS-YIW-202012,48.13,-1,eris_settlement_dv01
2021-02-05,YAHOO-CONTINUOUS-ZF,48.13,-1,cme_fixed_ics_ratio_proxy
2021-02-05,YAHOO-CONTINUOUS-ZT,38.54,-1,cme_fixed_ics_ratio_proxy
2021-02-08,ERIS-YIT-202109,19.08,-1,eris_settlement_dv01
2021-02-08,ERIS-YIW-202012,48.1,-1,eris_settlement_dv01
2021-02-08,YAHOO-CONTINUOUS-ZF,48.1,-1,cme_fixed_ics_ratio_proxy
2021-02-08,YAHOO-CONTINUOUS-ZT,38.16,-1,cme_fixed_ics_ratio_proxy
2021-02-09,ERIS-YIT-202109,19.04,-1,eris_settlement_dv01
2021-02-09,ERIS-YIW-202012,48.01,-1,eris_settlement_dv01
2021-02-09,YAHOO-CONTINUOUS-ZF,48.01,-1,cme_fixed_ics_ratio_proxy
2021-02-09,YAHOO-CONTINUOUS-ZT,38.08,-1,cme_fixed_ics_ratio_proxy
2021-02-10,ERIS-YIT-202109,19.01,-1,eris_settlement_dv01
2021-02-10,ERIS-YIW-202012,48.02,-1,eris_settlement_dv01
2021-02-10,YAHOO-CONTINUOUS-ZF,48.02,-1,cme_fixed_ics_ratio_proxy
2021-02-10,YAHOO-CONTINUOUS-ZT,38.02,-1,cme_fixed_ics_ratio_proxy
2021-02-11,ERIS-YIT-202109,18.82,-1,eris_settlement_dv01
2021-02-11,ERIS-YIW-202012,47.93,-1,eris_settlement_dv01
2021-02-11,YAHOO-CONTINUOUS-ZF,47.93,-1,cme_fixed_ics_ratio_proxy
2021-02-11,YAHOO-CONTINUOUS-ZT,37.64,-1,cme_fixed_ics_ratio_proxy
2021-02-12,ERIS-YIT-202109,18.82,-1,eris_settlement_dv01
2021-02-12,ERIS-YIW-202012,47.88,-1,eris_settlement_dv01
2021-02-12,YAHOO-CONTINUOUS-ZF,47.88,-1,cme_fixed_ics_ratio_proxy
2021-02-12,YAHOO-CONTINUOUS-ZT,37.64,-1,cme_fixed_ics_ratio_proxy
2021-02-16,ERIS-YIT-202109,18.61,-1,eris_settlement_dv01
2021-02-16,ERIS-YIW-202012,47.69,-1,eris_settlement_dv01
2021-02-16,YAHOO-CONTINUOUS-ZF,47.69,-1,cme_fixed_ics_ratio_proxy
2021-02-16,YAHOO-CONTINUOUS-ZT,37.22,-1,cme_fixed_ics_ratio_proxy
2021-02-17,ERIS-YIT-202109,18.58,-1,eris_settlement_dv01
2021-02-17,ERIS-YIW-202012,47.66,-1,eris_settlement_dv01
2021-02-17,YAHOO-CONTINUOUS-ZF,47.66,-1,cme_fixed_ics_ratio_proxy
2021-02-17,YAHOO-CONTINUOUS-ZT,37.16,-1,cme_fixed_ics_ratio_proxy
2021-02-18,ERIS-YIT-202109,20.17,-1,eris_settlement_dv01
2021-02-18,ERIS-YIW-202012,48.02,-1,eris_settlement_dv01
2021-02-18,YAHOO-CONTINUOUS-ZF,48.02,-1,cme_fixed_ics_ratio_proxy
2021-02-18,YAHOO-CONTINUOUS-ZT,40.34,-1,cme_fixed_ics_ratio_proxy
2021-02-19,ERIS-YIT-202109,18.46,-1,eris_settlement_dv01
2021-02-19,ERIS-YIW-202012,47.54,-1,eris_settlement_dv01
2021-02-19,YAHOO-CONTINUOUS-ZF,47.54,-1,cme_fixed_ics_ratio_proxy
2021-02-19,YAHOO-CONTINUOUS-ZT,36.92,-1,cme_fixed_ics_ratio_proxy
2021-02-22,ERIS-YIT-202109,20.16,-1,eris_settlement_dv01
2021-02-22,ERIS-YIW-202012,47.77,-1,eris_settlement_dv01
2021-02-22,YAHOO-CONTINUOUS-ZF,47.77,-1,cme_fixed_ics_ratio_proxy
2021-02-22,YAHOO-CONTINUOUS-ZT,40.32,-1,cme_fixed_ics_ratio_proxy
2021-02-23,ERIS-YIT-202109,20.17,-1,eris_settlement_dv01
2021-02-23,ERIS-YIW-202012,47.77,-1,eris_settlement_dv01
2021-02-23,YAHOO-CONTINUOUS-ZF,47.77,-1,cme_fixed_ics_ratio_proxy
2021-02-23,YAHOO-CONTINUOUS-ZT,40.34,-1,cme_fixed_ics_ratio_proxy
2021-02-24,ERIS-YIT-202109,20.16,-1,eris_settlement_dv01
2021-02-24,ERIS-YIW-202012,47.7,-1,eris_settlement_dv01
2021-02-24,YAHOO-CONTINUOUS-ZF,47.7,-1,cme_fixed_ics_ratio_proxy
2021-02-24,YAHOO-CONTINUOUS-ZT,40.32,-1,cme_fixed_ics_ratio_proxy
2021-02-25,ERIS-YIT-202109,20.11,-1,eris_settlement_dv01
2021-02-25,ERIS-YIW-202012,47.33,-1,eris_settlement_dv01
2021-02-25,YAHOO-CONTINUOUS-ZF,47.33,-1,cme_fixed_ics_ratio_proxy
2021-02-25,YAHOO-CONTINUOUS-ZT,40.22,-1,cme_fixed_ics_ratio_proxy
2021-02-26,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-02-26,ERIS-YIW-202012,47.33,-1,eris_settlement_dv01
2021-02-26,YAHOO-CONTINUOUS-ZF,47.33,-1,cme_fixed_ics_ratio_proxy
2021-02-26,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-01,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-03-01,ERIS-YIW-202012,47.32,-1,eris_settlement_dv01
2021-03-01,YAHOO-CONTINUOUS-ZF,47.32,-1,cme_fixed_ics_ratio_proxy
2021-03-01,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-03-02,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-03-02,ERIS-YIW-202012,47.37,-1,eris_settlement_dv01
2021-03-02,YAHOO-CONTINUOUS-ZF,47.37,-1,cme_fixed_ics_ratio_proxy
2021-03-02,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-03-03,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-03,ERIS-YIW-202012,47.23,-1,eris_settlement_dv01
2021-03-03,YAHOO-CONTINUOUS-ZF,47.23,-1,cme_fixed_ics_ratio_proxy
