observation_date,series_id,instrument_id,value,value_unit,source_observation_time_utc,available_at_utc,source,classification,proxy_label
2020-09-04,,ERIS-YIT,99.9254,price_points,2020-09-04T21:00:00Z,2020-09-04T21:01:00Z,ERIS,exact,
2020-09-04,,ERIS-YIW,100.3464,price_points,2020-09-04T21:00:00Z,2020-09-04T21:01:00Z,ERIS,exact,
2020-09-04,,YAHOO-CONTINUOUS-ZF,125.7109375,price_points,2020-09-04T21:00:00Z,2020-09-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-04,,YAHOO-CONTINUOUS-ZT,110.390625,price_points,2020-09-04T21:00:00Z,2020-09-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-08,,ERIS-YIT,99.9409,price_points,2020-09-08T21:00:00Z,2020-09-08T21:01:00Z,ERIS,exact,
2020-09-08,,ERIS-YIW,100.509,price_points,2020-09-08T21:00:00Z,2020-09-08T21:01:00Z,ERIS,exact,
2020-09-08,,YAHOO-CONTINUOUS-ZF,125.859375,price_points,2020-09-08T21:00:00Z,2020-09-08T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-08,,YAHOO-CONTINUOUS-ZT,110.41015625,price_points,2020-09-08T21:00:00Z,2020-09-08T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-09,,ERIS-YIT,99.936,price_points,2020-09-09T21:00:00Z,2020-09-09T21:01:00Z,ERIS,exact,
2020-09-09,,ERIS-YIW,100.4701,price_points,2020-09-09T21:00:00Z,2020-09-09T21:01:00Z,ERIS,exact,
2020-09-09,,YAHOO-CONTINUOUS-ZF,125.84375,price_points,2020-09-09T21:00:00Z,2020-09-09T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-09,,YAHOO-CONTINUOUS-ZT,110.40234375,price_points,2020-09-09T21:00:00Z,2020-09-09T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-10,,ERIS-YIT,99.9464,price_points,2020-09-10T21:00:00Z,2020-09-10T21:01:00Z,ERIS,exact,
2020-09-10,,ERIS-YIW,100.552,price_points,2020-09-10T21:00:00Z,2020-09-10T21:01:00Z,ERIS,exact,
2020-09-10,,YAHOO-CONTINUOUS-ZF,125.8984375,price_points,2020-09-10T21:00:00Z,2020-09-10T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-10,,YAHOO-CONTINUOUS-ZT,110.41015625,price_points,2020-09-10T21:00:00Z,2020-09-10T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-11,,ERIS-YIT,99.9756,price_points,2020-09-11T21:00:00Z,2020-09-11T21:01:00Z,ERIS,exact,
2020-09-11,,ERIS-YIW,100.6013,price_points,2020-09-11T21:00:00Z,2020-09-11T21:01:00Z,ERIS,exact,
2020-09-11,,YAHOO-CONTINUOUS-ZF,125.9609375,price_points,2020-09-11T21:00:00Z,2020-09-11T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-11,,YAHOO-CONTINUOUS-ZT,110.4375,price_points,2020-09-11T21:00:00Z,2020-09-11T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-14,,ERIS-YIT,99.9643,price_points,2020-09-14T21:00:00Z,2020-09-14T21:01:00Z,ERIS,exact,
2020-09-14,,ERIS-YIW,100.5653,price_points,2020-09-14T21:00:00Z,2020-09-14T21:01:00Z,ERIS,exact,
2020-09-14,,YAHOO-CONTINUOUS-ZF,125.921875,price_points,2020-09-14T21:00:00Z,2020-09-14T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-14,,YAHOO-CONTINUOUS-ZT,110.41796875,price_points,2020-09-14T21:00:00Z,2020-09-14T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-15,,ERIS-YIT,99.9614,price_points,2020-09-15T21:00:00Z,2020-09-15T21:01:00Z,ERIS,exact,
2020-09-15,,ERIS-YIW,100.5499,price_points,2020-09-15T21:00:00Z,2020-09-15T21:01:00Z,ERIS,exact,
2020-09-15,,YAHOO-CONTINUOUS-ZF,125.890625,price_points,2020-09-15T21:00:00Z,2020-09-15T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-15,,YAHOO-CONTINUOUS-ZT,110.4140625,price_points,2020-09-15T21:00:00Z,2020-09-15T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-16,,ERIS-YIT,99.9522,price_points,2020-09-16T21:00:00Z,2020-09-16T21:01:00Z,ERIS,exact,
2020-09-16,,ERIS-YIW,100.5348,price_points,2020-09-16T21:00:00Z,2020-09-16T21:01:00Z,ERIS,exact,
2020-09-16,,YAHOO-CONTINUOUS-ZF,125.875,price_points,2020-09-16T21:00:00Z,2020-09-16T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-16,,YAHOO-CONTINUOUS-ZT,110.41015625,price_points,2020-09-16T21:00:00Z,2020-09-16T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-17,,ERIS-YIT,99.9575,price_points,2020-09-17T21:00:00Z,2020-09-17T21:01:00Z,ERIS,exact,
2020-09-17,,ERIS-YIW,100.55,price_points,2020-09-17T21:00:00Z,2020-09-17T21:01:00Z,ERIS,exact,
2020-09-17,,YAHOO-CONTINUOUS-ZF,125.890625,price_points,2020-09-17T21:00:00Z,2020-09-17T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-17,,YAHOO-CONTINUOUS-ZT,110.42578125,price_points,2020-09-17T21:00:00Z,2020-09-17T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-18,,ERIS-YIT,99.945,price_points,2020-09-18T21:00:00Z,2020-09-18T21:01:00Z,ERIS,exact,
2020-09-18,,ERIS-YIW,100.505,price_points,2020-09-18T21:00:00Z,2020-09-18T21:01:00Z,ERIS,exact,
2020-09-18,,YAHOO-CONTINUOUS-ZF,125.8671875,price_points,2020-09-18T21:00:00Z,2020-09-18T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-18,,YAHOO-CONTINUOUS-ZT,110.41796875,price_points,2020-09-18T21:00:00Z,2020-09-18T21:01:00Z,YAHOO,proxy,continuous futures proxy
2020-09-21,,ERIS-YIT,99.9475,price_points,2020-09-21T21:00:00Z,2020-09-21T21:01:00Z,ERIS,exact,
