observation_date,source,instrument_id,settlement_price,dv01_usd_per_bp
2020-09-04,ERIS,ERIS-YIT-202012,99.9254,
2020-09-04,ERIS,ERIS-YIW-202012,100.3464,
2020-09-04,YAHOO,YAHOO-CONTINUOUS-ZF,125.7109375,
2020-09-04,YAHOO,YAHOO-CONTINUOUS-ZT,110.390625,
2020-09-08,ERIS,ERIS-YIT-202012,99.9409,
2020-09-08,ERIS,ERIS-YIW-202012,100.509,
2020-09-08,YAHOO,YAHOO-CONTINUOUS-ZF,125.859375,
2020-09-08,YAHOO,YAHOO-CONTINUOUS-ZT,110.41015625,
2020-09-09,ERIS,ERIS-YIT-202012,99.936,
2020-09-09,ERIS,ERIS-YIW-202012,100.4701,
2020-09-09,YAHOO,YAHOO-CONTINUOUS-ZF,125.84375,
2020-09-09,YAHOO,YAHOO-CONTINUOUS-ZT,110.40234375,
2020-09-10,ERIS,ERIS-YIT-202012,99.9464,
2020-09-10,ERIS,ERIS-YIW-202012,100.552,
2020-09-10,YAHOO,YAHOO-CONTINUOUS-ZF,125.8984375,
2020-09-10,YAHOO,YAHOO-CONTINUOUS-ZT,110.41015625,
2020-09-11,ERIS,ERIS-YIT-202012,99.9756,
2020-09-11,ERIS,ERIS-YIW-202012,100.6013,
2020-09-11,YAHOO,YAHOO-CONTINUOUS-ZF,125.9609375,
2020-09-11,YAHOO,YAHOO-CONTINUOUS-ZT,110.4375,
2020-09-14,ERIS,ERIS-YIT-202012,99.9643,
2020-09-14,ERIS,ERIS-YIW-202012,100.5653,
2020-09-14,YAHOO,YAHOO-CONTINUOUS-ZF,125.921875,
2020-09-14,YAHOO,YAHOO-CONTINUOUS-ZT,110.41796875,
2020-09-15,ERIS,ERIS-YIT-202012,99.9614,
2020-09-15,ERIS,ERIS-YIW-202012,100.5499,
2020-09-15,YAHOO,YAHOO-CONTINUOUS-ZF,125.890625,
2020-09-15,YAHOO,YAHOO-CONTINUOUS-ZT,110.4140625,
2020-09-16,ERIS,ERIS-YIT-202012,99.9522,
2020-09-16,ERIS,ERIS-YIW-202012,100.5348,
2020-09-16,YAHOO,YAHOO-CONTINUOUS-ZF,125.875,
2020-09-16,YAHOO,YAHOO-CONTINUOUS-ZT,110.41015625,
2020-09-17,ERIS,ERIS-YIT-202012,99.9575,
2020-09-17,ERIS,ERIS-YIW-202012,100.55,
2020-09-17,YAHOO,YAHOO-CONTINUOUS-ZF,125.890625,
2020-09-17,YAHOO,YAHOO-CONTINUOUS-ZT,110.42578125,
2020-09-18,ERIS,ERIS-YIT-202012,99.945,
2020-09-18,ERIS,ERIS-YIW-202012,100.505,
2020-09-18,YAHOO,YAHOO-CONTINUOUS-ZF,125.8671875,
2020-09-18,YAHOO,YAHOO-CONTINUOUS-ZT,110.41796875,
2020-09-21,ERIS,ERIS-YIT-202012,99.9475,
2020-09-21,ERIS,ERIS-YIW-202012,100.555,
2020-09-21,YAHOO,YAHOO-CONTINUOUS-ZF,125.890625,
2020-09-21,YAHOO,YAHOO-CONTINUOUS-ZT,110.421875,
2020-09-22,ERIS,ERIS-YIT-202012,99.9538,
2020-09-22,ERIS,ERIS-YIW-202012,100.58,
