observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2022-01-03,ERIS-YIT-202112,19.38,-1,eris_settlement_dv01
2022-01-03,ERIS-YIW-202106,42.61,-1,eris_settlement_dv01
2022-01-03,YAHOO-CONTINUOUS-ZF,42.61,-1,cme_fixed_ics_ratio_proxy
2022-01-03,YAHOO-CONTINUOUS-ZT,38.76,-1,cme_fixed_ics_ratio_proxy
2022-01-04,ERIS-YIT-202112,19.37,-1,eris_settlement_dv01
2022-01-04,ERIS-YIW-202106,42.58,-1,eris_settlement_dv01
2022-01-04,YAHOO-CONTINUOUS-ZF,42.58,-1,cme_fixed_ics_ratio_proxy
2022-01-04,YAHOO-CONTINUOUS-ZT,38.74,-1,cme_fixed_ics_ratio_proxy
2022-01-05,ERIS-YIT-202112,19.3,-1,eris_settlement_dv01
2022-01-05,ERIS-YIW-202106,42.42,-1,eris_settlement_dv01
2022-01-05,YAHOO-CONTINUOUS-ZF,42.42,-1,cme_fixed_ics_ratio_proxy
2022-01-05,YAHOO-CONTINUOUS-ZT,38.6,-1,cme_fixed_ics_ratio_proxy
2022-01-06,ERIS-YIT-202112,19.25,-1,eris_settlement_dv01
2022-01-06,ERIS-YIW-202106,42.29,-1,eris_settlement_dv01
2022-01-06,YAHOO-CONTINUOUS-ZF,42.29,-1,cme_fixed_ics_ratio_proxy
2022-01-06,YAHOO-CONTINUOUS-ZT,38.5,-1,cme_fixed_ics_ratio_proxy
2022-01-07,ERIS-YIT-202112,19.23,-1,eris_settlement_dv01
2022-01-07,ERIS-YIW-202106,42.2,-1,eris_settlement_dv01
2022-01-07,YAHOO-CONTINUOUS-ZF,42.2,-1,cme_fixed_ics_ratio_proxy
2022-01-07,YAHOO-CONTINUOUS-ZT,38.46,-1,cme_fixed_ics_ratio_proxy
2022-01-10,ERIS-YIT-202112,19.13,-1,eris_settlement_dv01
2022-01-10,ERIS-YIW-202106,42.03,-1,eris_settlement_dv01
2022-01-10,YAHOO-CONTINUOUS-ZF,42.03,-1,cme_fixed_ics_ratio_proxy
2022-01-10,YAHOO-CONTINUOUS-ZT,38.26,-1,cme_fixed_ics_ratio_proxy
2022-01-11,ERIS-YIT-202112,19.11,-1,eris_settlement_dv01
2022-01-11,ERIS-YIW-202106,42.09,-1,eris_settlement_dv01
2022-01-11,YAHOO-CONTINUOUS-ZF,42.09,-1,cme_fixed_ics_ratio_proxy
2022-01-11,YAHOO-CONTINUOUS-ZT,38.22,-1,cme_fixed_ics_ratio_proxy
2022-01-12,ERIS-YIT-202112,19.08,-1,eris_settlement_dv01
2022-01-12,ERIS-YIW-202106,42.11,-1,eris_settlement_dv01
2022-01-12,YAHOO-CONTINUOUS-ZF,42.11,-1,cme_fixed_ics_ratio_proxy
2022-01-12,YAHOO-CONTINUOUS-ZT,38.16,-1,cme_fixed_ics_ratio_proxy
2022-01-13,ERIS-YIT-202112,19.05,-1,eris_settlement_dv01
2022-01-13,ERIS-YIW-202106,42.13,-1,eris_settlement_dv01
2022-01-13,YAHOO-CONTINUOUS-ZF,42.13,-1,cme_fixed_ics_ratio_proxy
2022-01-13,YAHOO-CONTINUOUS-ZT,38.1,-1,cme_fixed_ics_ratio_proxy
2022-01-14,ERIS-YIT-202112,18.99,-1,eris_settlement_dv01
2022-01-14,ERIS-YIW-202106,41.91,-1,eris_settlement_dv01
2022-01-14,YAHOO-CONTINUOUS-ZF,41.91,-1,cme_fixed_ics_ratio_proxy
2022-01-14,YAHOO-CONTINUOUS-ZT,37.98,-1,cme_fixed_ics_ratio_proxy
2022-01-18,ERIS-YIT-202112,18.84,-1,eris_settlement_dv01
2022-01-18,ERIS-YIW-202106,41.59,-1,eris_settlement_dv01
