observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2023-05-30,ERIS-YIT-202303,17.1864865261,-1,eris_settlement_dv01
2023-05-30,ERIS-YIW-202309,45.5193431556,-1,eris_settlement_dv01
2023-05-30,YAHOO-CONTINUOUS-ZF,45.5193431556,-1,cme_fixed_ics_ratio_proxy
2023-05-30,YAHOO-CONTINUOUS-ZT,34.3729730522,-1,cme_fixed_ics_ratio_proxy
2023-05-31,ERIS-YIT-202303,17.1988789153,-1,eris_settlement_dv01
2023-05-31,ERIS-YIW-202309,45.7467022381,-1,eris_settlement_dv01
2023-05-31,YAHOO-CONTINUOUS-ZF,45.7467022381,-1,cme_fixed_ics_ratio_proxy
2023-05-31,YAHOO-CONTINUOUS-ZT,34.3977578306,-1,cme_fixed_ics_ratio_proxy
2023-06-01,ERIS-YIT-202303,17.2037374819,-1,eris_settlement_dv01
2023-06-01,ERIS-YIW-202309,45.8823434725,-1,eris_settlement_dv01
2023-06-01,YAHOO-CONTINUOUS-ZF,45.8823434725,-1,cme_fixed_ics_ratio_proxy
2023-06-01,YAHOO-CONTINUOUS-ZT,34.4074749638,-1,cme_fixed_ics_ratio_proxy
2023-06-02,ERIS-YIT-202303,17.1008257145,-1,eris_settlement_dv01
2023-06-02,ERIS-YIW-202309,45.4570293435,-1,eris_settlement_dv01
2023-06-02,YAHOO-CONTINUOUS-ZF,45.4570293435,-1,cme_fixed_ics_ratio_proxy
2023-06-02,YAHOO-CONTINUOUS-ZT,34.201651429,-1,cme_fixed_ics_ratio_proxy
2023-06-05,ERIS-YIT-202309,19.0468533692,-1,eris_settlement_dv01
2023-06-05,ERIS-YIW-202309,45.5615669754,-1,eris_settlement_dv01
2023-06-05,YAHOO-CONTINUOUS-ZF,45.5615669754,-1,cme_fixed_ics_ratio_proxy
2023-06-05,YAHOO-CONTINUOUS-ZT,38.0937067384,-1,cme_fixed_ics_ratio_proxy
2023-06-06,ERIS-YIT-202309,19.0148578066,-1,eris_settlement_dv01
2023-06-06,ERIS-YIW-202309,45.5070029343,-1,eris_settlement_dv01
2023-06-06,YAHOO-CONTINUOUS-ZF,45.5070029343,-1,cme_fixed_ics_ratio_proxy
2023-06-06,YAHOO-CONTINUOUS-ZT,38.0297156132,-1,cme_fixed_ics_ratio_proxy
2023-06-07,ERIS-YIT-202309,18.9803384243,-1,eris_settlement_dv01
2023-06-07,ERIS-YIW-202309,45.3011160658,-1,eris_settlement_dv01
2023-06-07,YAHOO-CONTINUOUS-ZF,45.3011160658,-1,cme_fixed_ics_ratio_proxy
2023-06-07,YAHOO-CONTINUOUS-ZT,37.9606768486,-1,cme_fixed_ics_ratio_proxy
2023-06-08,ERIS-YIT-202309,19.000685219,-1,eris_settlement_dv01
2023-06-08,ERIS-YIW-202309,45.4707121149,-1,eris_settlement_dv01
2023-06-08,YAHOO-CONTINUOUS-ZF,45.4707121149,-1,cme_fixed_ics_ratio_proxy
2023-06-08,YAHOO-CONTINUOUS-ZT,38.001370438,-1,cme_fixed_ics_ratio_proxy
2023-06-09,ERIS-YIT-202309,18.9436893384,-1,eris_settlement_dv01
2023-06-09,ERIS-YIW-202309,45.3075582034,-1,eris_settlement_dv01
2023-06-09,YAHOO-CONTINUOUS-ZF,45.3075582034,-1,cme_fixed_ics_ratio_proxy
2023-06-09,YAHOO-CONTINUOUS-ZT,37.8873786768,-1,cme_fixed_ics_ratio_proxy
2023-06-12,ERIS-YIT-202309,18.9600404939,-1,eris_settlement_dv01
2023-06-12,ERIS-YIW-202309,45.3526871807,-1,eris_settlement_dv01
2023-06-12,YAHOO-CONTINUOUS-ZF,45.3526871807,-1,cme_fixed_ics_ratio_proxy
2023-06-12,YAHOO-CONTINUOUS-ZT,37.9200809878,-1,cme_fixed_ics_ratio_proxy
2023-06-13,ERIS-YIT-202309,18.8809271956,-1,eris_settlement_dv01
2023-06-13,ERIS-YIW-202309,45.0502012639,-1,eris_settlement_dv01
2023-06-13,YAHOO-CONTINUOUS-ZF,45.0502012639,-1,cme_fixed_ics_ratio_proxy
2023-06-13,YAHOO-CONTINUOUS-ZT,37.7618543912,-1,cme_fixed_ics_ratio_proxy
2023-06-14,ERIS-YIT-202309,18.8761646938,-1,eris_settlement_dv01
