observation_date,source,instrument_id,settlement_price,dv01_usd_per_bp
2023-01-03,ERIS,ERIS-YIT-202212,97.7608,
2023-01-03,ERIS,ERIS-YIW-202212,95.8288,
2023-01-03,YAHOO,YAHOO-CONTINUOUS-ZF,108.015625,
2023-01-03,YAHOO,YAHOO-CONTINUOUS-ZT,102.5546875,
2023-01-04,ERIS,ERIS-YIT-202212,97.7793,
2023-01-04,ERIS,ERIS-YIW-202212,96.1011,
2023-01-04,YAHOO,YAHOO-CONTINUOUS-ZF,108.3125,
2023-01-04,YAHOO,YAHOO-CONTINUOUS-ZT,102.6015625,
2023-01-05,ERIS,ERIS-YIT-202212,97.6563,
2023-01-05,ERIS,ERIS-YIW-202212,95.9321,
2023-01-05,YAHOO,YAHOO-CONTINUOUS-ZF,108.140625,
2023-01-05,YAHOO,YAHOO-CONTINUOUS-ZT,102.47265625,
2023-01-06,ERIS,ERIS-YIT-202212,97.9848,
2023-01-06,ERIS,ERIS-YIW-202212,96.8113,
2023-01-06,YAHOO,YAHOO-CONTINUOUS-ZF,109.0234375,
2023-01-06,YAHOO,YAHOO-CONTINUOUS-ZT,102.83984375,
2023-01-09,ERIS,ERIS-YIT-202212,98.0884,
2023-01-09,ERIS,ERIS-YIW-202212,97.0428,
2023-01-09,YAHOO,YAHOO-CONTINUOUS-ZF,109.296875,
2023-01-09,YAHOO,YAHOO-CONTINUOUS-ZT,102.96484375,
2023-01-10,ERIS,ERIS-YIT-202212,98.0119,
2023-01-10,ERIS,ERIS-YIW-202212,96.7119,
2023-01-10,YAHOO,YAHOO-CONTINUOUS-ZF,108.953125,
2023-01-10,YAHOO,YAHOO-CONTINUOUS-ZT,102.8515625,
2023-01-11,ERIS,ERIS-YIT-202212,98.0738,
2023-01-11,ERIS,ERIS-YIW-202212,96.9281,
2023-01-11,YAHOO,YAHOO-CONTINUOUS-ZF,109.2265625,
2023-01-11,YAHOO,YAHOO-CONTINUOUS-ZT,102.90625,
2023-01-12,ERIS,ERIS-YIT-202212,98.1937,
2023-01-12,ERIS,ERIS-YIW-202212,97.3853,
2023-01-12,YAHOO,YAHOO-CONTINUOUS-ZF,109.78125,
2023-01-12,YAHOO,YAHOO-CONTINUOUS-ZT,103.06640625,
2023-01-13,ERIS,ERIS-YIT-202212,98.0543,
2023-01-13,ERIS,ERIS-YIW-202212,97.103,
2023-01-13,YAHOO,YAHOO-CONTINUOUS-ZF,109.4296875,
2023-01-13,YAHOO,YAHOO-CONTINUOUS-ZT,102.8828125,
2023-01-17,ERIS,ERIS-YIT-202212,98.1402,
2023-01-17,ERIS,ERIS-YIW-202212,97.1642,
2023-01-17,YAHOO,YAHOO-CONTINUOUS-ZF,109.4921875,
2023-01-17,YAHOO,YAHOO-CONTINUOUS-ZT,102.96875,
2023-01-18,ERIS,ERIS-YIT-202212,98.3171,
2023-01-18,ERIS,ERIS-YIW-202212,97.7963,
2023-01-18,YAHOO,YAHOO-CONTINUOUS-ZF,110.28125,
2023-01-18,YAHOO,YAHOO-CONTINUOUS-ZT,103.19140625,
2023-01-19,ERIS,ERIS-YIT-202212,98.2439,
2023-01-19,ERIS,ERIS-YIW-202212,97.6072,
2023-01-19,YAHOO,YAHOO-CONTINUOUS-ZF,110.0234375,
2023-01-19,YAHOO,YAHOO-CONTINUOUS-ZT,103.1171875,
2023-01-20,ERIS,ERIS-YIT-202212,98.1536,
2023-01-20,ERIS,ERIS-YIW-202212,97.2496,
2023-01-20,YAHOO,YAHOO-CONTINUOUS-ZF,109.6640625,
2023-01-20,YAHOO,YAHOO-CONTINUOUS-ZT,102.99609375,
2023-01-23,ERIS,ERIS-YIT-202212,98.0514,
2023-01-23,ERIS,ERIS-YIW-202212,96.9968,
2023-01-23,YAHOO,YAHOO-CONTINUOUS-ZF,109.375,
2023-01-23,YAHOO,YAHOO-CONTINUOUS-ZT,102.87890625,
2023-01-24,ERIS,ERIS-YIT-202212,98.09,
2023-01-24,ERIS,ERIS-YIW-202212,97.1972,
2023-01-24,YAHOO,YAHOO-CONTINUOUS-ZF,109.5546875,
2023-01-24,YAHOO,YAHOO-CONTINUOUS-ZT,102.9375,
2023-01-25,ERIS,ERIS-YIT-202212,98.1415,
2023-01-25,ERIS,ERIS-YIW-202212,97.2453,
2023-01-25,YAHOO,YAHOO-CONTINUOUS-ZF,109.6640625,
2023-01-25,YAHOO,YAHOO-CONTINUOUS-ZT,102.98046875,
2023-01-26,ERIS,ERIS-YIT-202212,98.0729,
2023-01-26,ERIS,ERIS-YIW-202212,97.0583,
2023-01-26,YAHOO,YAHOO-CONTINUOUS-ZF,109.4609375,
2023-01-26,YAHOO,YAHOO-CONTINUOUS-ZT,102.89453125,
2023-01-27,ERIS,ERIS-YIT-202212,98.0239,
2023-01-27,ERIS,ERIS-YIW-202212,96.8796,
2023-01-27,YAHOO,YAHOO-CONTINUOUS-ZF,109.3125,
2023-01-27,YAHOO,YAHOO-CONTINUOUS-ZT,102.8359375,
2023-01-30,ERIS,ERIS-YIT-202212,97.9246,
2023-01-30,ERIS,ERIS-YIW-202212,96.6157,
2023-01-30,YAHOO,YAHOO-CONTINUOUS-ZF,109.03125,
2023-01-30,YAHOO,YAHOO-CONTINUOUS-ZT,102.73046875,
2023-01-31,ERIS,ERIS-YIT-202212,98.0074,
2023-01-31,ERIS,ERIS-YIW-202212,96.8602,
2023-01-31,YAHOO,YAHOO-CONTINUOUS-ZF,109.2421875,
2023-01-31,YAHOO,YAHOO-CONTINUOUS-ZT,102.82421875,
2023-02-01,ERIS,ERIS-YIT-202212,98.157,
2023-02-01,ERIS,ERIS-YIW-202212,97.4028,
2023-02-01,YAHOO,YAHOO-CONTINUOUS-ZF,109.875,
2023-02-01,YAHOO,YAHOO-CONTINUOUS-ZT,103.01171875,
2023-02-02,ERIS,ERIS-YIT-202212,98.1926,
2023-02-02,ERIS,ERIS-YIW-202212,97.4264,
2023-02-02,YAHOO,YAHOO-CONTINUOUS-ZF,109.953125,
2023-02-02,YAHOO,YAHOO-CONTINUOUS-ZT,103.0546875,
2023-02-03,ERIS,ERIS-YIT-202212,97.844,
2023-02-03,ERIS,ERIS-YIW-202212,96.622,
2023-02-03,YAHOO,YAHOO-CONTINUOUS-ZF,109.0859375,
2023-02-03,YAHOO,YAHOO-CONTINUOUS-ZT,102.66015625,
2023-02-06,ERIS,ERIS-YIT-202212,97.5882,
2023-02-06,ERIS,ERIS-YIW-202212,96.0345,
2023-02-06,YAHOO,YAHOO-CONTINUOUS-ZF,108.390625,
2023-02-06,YAHOO,YAHOO-CONTINUOUS-ZT,102.36328125,
2023-02-07,ERIS,ERIS-YIT-202212,97.5383,
2023-02-07,ERIS,ERIS-YIW-202212,95.9276,
2023-02-07,YAHOO,YAHOO-CONTINUOUS-ZF,108.265625,
2023-02-07,YAHOO,YAHOO-CONTINUOUS-ZT,102.33203125,
2023-02-08,ERIS,ERIS-YIT-202212,97.5564,
2023-02-08,ERIS,ERIS-YIW-202212,96.0171,
2023-02-08,YAHOO,YAHOO-CONTINUOUS-ZF,108.3828125,
2023-02-08,YAHOO,YAHOO-CONTINUOUS-ZT,102.3515625,
2023-02-09,ERIS,ERIS-YIT-202212,97.4498,
2023-02-09,ERIS,ERIS-YIW-202212,95.7417,
2023-02-09,YAHOO,YAHOO-CONTINUOUS-ZF,108.0703125,
2023-02-09,YAHOO,YAHOO-CONTINUOUS-ZT,102.234375,
2023-02-10,ERIS,ERIS-YIT-202212,97.4076,
2023-02-10,ERIS,ERIS-YIW-202212,95.5795,
2023-02-10,YAHOO,YAHOO-CONTINUOUS-ZF,107.90625,
2023-02-10,YAHOO,YAHOO-CONTINUOUS-ZT,102.22265625,
2023-02-13,ERIS,ERIS-YIT-202212,97.3709,
2023-02-13,ERIS,ERIS-YIW-202212,95.5305,
2023-02-13,YAHOO,YAHOO-CONTINUOUS-ZF,107.8515625,
2023-02-13,YAHOO,YAHOO-CONTINUOUS-ZT,102.1796875,
2023-02-14,ERIS,ERIS-YIT-202212,97.1506,
2023-02-14,ERIS,ERIS-YIW-202212,95.1154,
2023-02-14,YAHOO,YAHOO-CONTINUOUS-ZF,107.46875,
2023-02-14,YAHOO,YAHOO-CONTINUOUS-ZT,101.98828125,
2023-02-15,ERIS,ERIS-YIT-202212,97.1341,
2023-02-15,ERIS,ERIS-YIW-202212,94.9506,
2023-02-15,YAHOO,YAHOO-CONTINUOUS-ZF,107.3203125,
2023-02-15,YAHOO,YAHOO-CONTINUOUS-ZT,101.9765625,
2023-02-16,ERIS,ERIS-YIT-202212,97.1894,
2023-02-16,ERIS,ERIS-YIW-202212,94.9363,
2023-02-16,YAHOO,YAHOO-CONTINUOUS-ZF,107.2890625,
2023-02-16,YAHOO,YAHOO-CONTINUOUS-ZT,102.00390625,
2023-02-17,ERIS,ERIS-YIT-202212,97.1747,
2023-02-17,ERIS,ERIS-YIW-202212,95.0118,
2023-02-17,YAHOO,YAHOO-CONTINUOUS-ZF,107.3515625,
2023-02-17,YAHOO,YAHOO-CONTINUOUS-ZT,101.9921875,
2023-02-21,ERIS,ERIS-YIT-202303,99.5137,
2023-02-21,ERIS,ERIS-YIW-202212,94.4433,
2023-02-21,YAHOO,YAHOO-CONTINUOUS-ZF,106.7578125,
2023-02-21,YAHOO,YAHOO-CONTINUOUS-ZT,101.80078125,
2023-02-22,ERIS,ERIS-YIT-202303,99.51,
2023-02-22,ERIS,ERIS-YIW-202212,94.4852,
2023-02-22,YAHOO,YAHOO-CONTINUOUS-ZF,106.8359375,
2023-02-22,YAHOO,YAHOO-CONTINUOUS-ZT,101.80859375,
2023-02-23,ERIS,ERIS-YIT-202303,99.5337,
2023-02-23,ERIS,ERIS-YIW-202212,94.6364,
2023-02-23,YAHOO,YAHOO-CONTINUOUS-ZF,106.9453125,
2023-02-23,YAHOO,YAHOO-CONTINUOUS-ZT,101.80859375,
2023-02-24,ERIS,ERIS-YIT-202303,99.2887,
2023-02-24,ERIS,ERIS-YIW-202212,94.1566,
2023-02-24,YAHOO,YAHOO-CONTINUOUS-ZF,106.5,
2023-02-24,YAHOO,YAHOO-CONTINUOUS-ZT,101.64453125,
2023-02-27,ERIS,ERIS-YIT-202303,99.2975,
2023-02-27,ERIS,ERIS-YIW-202212,94.3052,
2023-02-27,YAHOO,YAHOO-CONTINUOUS-ZF,106.65625,
