observation_date,source,instrument_id,settlement_price,dv01_usd_per_bp
2022-06-21,ERIS,ERIS-YIW-202209,93.36,
2022-06-21,YAHOO,YAHOO-CONTINUOUS-ZF,110.8671875,
2022-06-21,YAHOO,YAHOO-CONTINUOUS-ZT,104.78125,
2022-06-22,ERIS,ERIS-YIT-202206,94.8729,
2022-06-22,ERIS,ERIS-YIW-202209,94.09,
2022-06-22,YAHOO,YAHOO-CONTINUOUS-ZF,111.578125,
2022-06-22,YAHOO,YAHOO-CONTINUOUS-ZT,105.0546875,
2022-06-23,ERIS,ERIS-YIT-202206,94.9955,
2022-06-23,ERIS,ERIS-YIW-202209,94.525,
2022-06-23,YAHOO,YAHOO-CONTINUOUS-ZF,112.015625,
2022-06-23,YAHOO,YAHOO-CONTINUOUS-ZT,105.1328125,
2022-06-24,ERIS,ERIS-YIT-202206,94.9886,
2022-06-24,ERIS,ERIS-YIW-202209,94.28,
2022-06-24,YAHOO,YAHOO-CONTINUOUS-ZF,111.90625,
2022-06-24,YAHOO,YAHOO-CONTINUOUS-ZT,105.0859375,
2022-06-27,ERIS,ERIS-YIT-202206,94.8909,
2022-06-27,ERIS,ERIS-YIW-202209,93.965,
2022-06-27,YAHOO,YAHOO-CONTINUOUS-ZF,111.5703125,
2022-06-27,YAHOO,YAHOO-CONTINUOUS-ZT,104.9921875,
2022-06-28,ERIS,ERIS-YIT-202206,94.8791,
2022-06-28,ERIS,ERIS-YIW-202209,93.91,
2022-06-28,YAHOO,YAHOO-CONTINUOUS-ZF,111.53125,
2022-06-28,YAHOO,YAHOO-CONTINUOUS-ZT,104.9765625,
2022-06-29,ERIS,ERIS-YIT-202206,94.9797,
2022-06-29,ERIS,ERIS-YIW-202209,94.395,
2022-06-29,YAHOO,YAHOO-CONTINUOUS-ZF,112.0234375,
2022-06-29,YAHOO,YAHOO-CONTINUOUS-ZT,105.10546875,
2022-06-30,ERIS,ERIS-YIT-202206,95.2741,
2022-06-30,ERIS,ERIS-YIW-202209,95.17,
2022-06-30,YAHOO,YAHOO-CONTINUOUS-ZF,112.6484375,
2022-06-30,YAHOO,YAHOO-CONTINUOUS-ZT,105.29296875,
2022-07-01,ERIS,ERIS-YIT-202206,95.4286,
2022-07-01,ERIS,ERIS-YIW-202209,95.635,
2022-07-01,YAHOO,YAHOO-CONTINUOUS-ZF,112.8359375,
2022-07-01,YAHOO,YAHOO-CONTINUOUS-ZT,105.1875,
2022-07-05,ERIS,ERIS-YIT-202206,95.5492,
2022-07-05,ERIS,ERIS-YIW-202209,96.005,
2022-07-05,YAHOO,YAHOO-CONTINUOUS-ZF,113.2109375,
2022-07-05,YAHOO,YAHOO-CONTINUOUS-ZT,105.265625,
2022-07-06,ERIS,ERIS-YIT-202206,95.3062,
2022-07-06,ERIS,ERIS-YIW-202209,95.38,
2022-07-06,YAHOO,YAHOO-CONTINUOUS-ZF,112.5546875,
2022-07-06,YAHOO,YAHOO-CONTINUOUS-ZT,105,
2022-07-07,ERIS,ERIS-YIT-202206,95.1733,
2022-07-07,ERIS,ERIS-YIW-202209,94.935,
2022-07-07,YAHOO,YAHOO-CONTINUOUS-ZF,112.078125,
