observation_date,series_id,instrument_id,value,value_unit,source_observation_time_utc,available_at_utc,source,classification,proxy_label
2022-01-03,,ERIS-YIT,98.89980000000001,price_points,2022-01-03T21:00:00Z,2022-01-03T21:01:00Z,ERIS,exact,
2022-01-03,,ERIS-YIW,96.88340000000001,price_points,2022-01-03T21:00:00Z,2022-01-03T21:01:00Z,ERIS,exact,
2022-01-03,,YAHOO-CONTINUOUS-ZF,120.4375,price_points,2022-01-03T21:00:00Z,2022-01-03T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-03,,YAHOO-CONTINUOUS-ZT,108.9765625,price_points,2022-01-03T21:00:00Z,2022-01-03T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-04,,ERIS-YIT,98.94020000000002,price_points,2022-01-04T21:00:00Z,2022-01-04T21:01:00Z,ERIS,exact,
2022-01-04,,ERIS-YIW,96.8666,price_points,2022-01-04T21:00:00Z,2022-01-04T21:01:00Z,ERIS,exact,
2022-01-04,,YAHOO-CONTINUOUS-ZF,120.4296875,price_points,2022-01-04T21:00:00Z,2022-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-04,,YAHOO-CONTINUOUS-ZT,109.01953125,price_points,2022-01-04T21:00:00Z,2022-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-05,,ERIS-YIT,98.82060000000001,price_points,2022-01-05T21:00:00Z,2022-01-05T21:01:00Z,ERIS,exact,
2022-01-05,,ERIS-YIW,96.6292,price_points,2022-01-05T21:00:00Z,2022-01-05T21:01:00Z,ERIS,exact,
2022-01-05,,YAHOO-CONTINUOUS-ZF,120.1171875,price_points,2022-01-05T21:00:00Z,2022-01-05T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-05,,YAHOO-CONTINUOUS-ZT,108.88671875,price_points,2022-01-05T21:00:00Z,2022-01-05T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-06,,ERIS-YIT,98.74670000000002,price_points,2022-01-06T21:00:00Z,2022-01-06T21:01:00Z,ERIS,exact,
2022-01-06,,ERIS-YIW,96.4315,price_points,2022-01-06T21:00:00Z,2022-01-06T21:01:00Z,ERIS,exact,
2022-01-06,,YAHOO-CONTINUOUS-ZF,119.8671875,price_points,2022-01-06T21:00:00Z,2022-01-06T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-06,,YAHOO-CONTINUOUS-ZT,108.7734375,price_points,2022-01-06T21:00:00Z,2022-01-06T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-07,,ERIS-YIT,98.76520000000002,price_points,2022-01-07T21:00:00Z,2022-01-07T21:01:00Z,ERIS,exact,
2022-01-07,,ERIS-YIW,96.3228,price_points,2022-01-07T21:00:00Z,2022-01-07T21:01:00Z,ERIS,exact,
2022-01-07,,YAHOO-CONTINUOUS-ZF,119.734375,price_points,2022-01-07T21:00:00Z,2022-01-07T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-07,,YAHOO-CONTINUOUS-ZT,108.8046875,price_points,2022-01-07T21:00:00Z,2022-01-07T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-10,,ERIS-YIT,98.69630000000002,price_points,2022-01-10T21:00:00Z,2022-01-10T21:01:00Z,ERIS,exact,
2022-01-10,,ERIS-YIW,96.1479,price_points,2022-01-10T21:00:00Z,2022-01-10T21:01:00Z,ERIS,exact,
2022-01-10,,YAHOO-CONTINUOUS-ZF,119.5625,price_points,2022-01-10T21:00:00Z,2022-01-10T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-10,,YAHOO-CONTINUOUS-ZT,108.734375,price_points,2022-01-10T21:00:00Z,2022-01-10T21:01:00Z,YAHOO,proxy,continuous futures proxy
2022-01-11,,ERIS-YIT,98.72480000000002,price_points,2022-01-11T21:00:00Z,2022-01-11T21:01:00Z,ERIS,exact,
2022-01-11,,ERIS-YIW,96.3188,price_points,2022-01-11T21:00:00Z,2022-01-11T21:01:00Z,ERIS,exact,
