observation_date,series_id,instrument_id,value,value_unit,source_observation_time_utc,available_at_utc,source,classification,proxy_label
2024-01-02,,ERIS-YIT,92.57700000000001,price_points,2024-01-02T21:00:00Z,2024-01-02T21:01:00Z,ERIS,exact,
2024-01-02,,ERIS-YIW,86.8731,price_points,2024-01-02T21:00:00Z,2024-01-02T21:01:00Z,ERIS,exact,
2024-01-02,,YAHOO-CONTINUOUS-ZF,108.34375,price_points,2024-01-02T21:00:00Z,2024-01-02T21:01:00Z,YAHOO,proxy,continuous futures proxy
2024-01-02,,YAHOO-CONTINUOUS-ZT,102.796875,price_points,2024-01-02T21:00:00Z,2024-01-02T21:01:00Z,YAHOO,proxy,continuous futures proxy
2024-01-03,,ERIS-YIT,92.55990000000001,price_points,2024-01-03T21:00:00Z,2024-01-03T21:01:00Z,ERIS,exact,
2024-01-03,,ERIS-YIW,86.9687,price_points,2024-01-03T21:00:00Z,2024-01-03T21:01:00Z,ERIS,exact,
2024-01-03,,YAHOO-CONTINUOUS-ZF,108.46875,price_points,2024-01-03T21:00:00Z,2024-01-03T21:01:00Z,YAHOO,proxy,continuous futures proxy
2024-01-03,,YAHOO-CONTINUOUS-ZT,102.8125,price_points,2024-01-03T21:00:00Z,2024-01-03T21:01:00Z,YAHOO,proxy,continuous futures proxy
2024-01-04,,ERIS-YIT,92.41900000000003,price_points,2024-01-04T21:00:00Z,2024-01-04T21:01:00Z,ERIS,exact,
2024-01-04,,ERIS-YIW,86.544,price_points,2024-01-04T21:00:00Z,2024-01-04T21:01:00Z,ERIS,exact,
2024-01-04,,YAHOO-CONTINUOUS-ZF,108.109375,price_points,2024-01-04T21:00:00Z,2024-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2024-01-04,,YAHOO-CONTINUOUS-ZT,102.67578125,price_points,2024-01-04T21:00:00Z,2024-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2024-01-05,,ERIS-YIT,92.40710000000001,price_points,2024-01-05T21:00:00Z,2024-01-05T21:01:00Z,ERIS,exact,
