observation_date,series_id,instrument_id,value,value_unit,source_observation_time_utc,available_at_utc,source,classification,proxy_label
2023-01-03,,ERIS-YIT,93.33320000000002,price_points,2023-01-03T21:00:00Z,2023-01-03T21:01:00Z,ERIS,exact,
2023-01-03,,ERIS-YIW,88.2273,price_points,2023-01-03T21:00:00Z,2023-01-03T21:01:00Z,ERIS,exact,
2023-01-03,,YAHOO-CONTINUOUS-ZF,108.015625,price_points,2023-01-03T21:00:00Z,2023-01-03T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-03,,YAHOO-CONTINUOUS-ZT,102.5546875,price_points,2023-01-03T21:00:00Z,2023-01-03T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-04,,ERIS-YIT,93.35170000000002,price_points,2023-01-04T21:00:00Z,2023-01-04T21:01:00Z,ERIS,exact,
2023-01-04,,ERIS-YIW,88.4996,price_points,2023-01-04T21:00:00Z,2023-01-04T21:01:00Z,ERIS,exact,
2023-01-04,,YAHOO-CONTINUOUS-ZF,108.3125,price_points,2023-01-04T21:00:00Z,2023-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-04,,YAHOO-CONTINUOUS-ZT,102.6015625,price_points,2023-01-04T21:00:00Z,2023-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-05,,ERIS-YIT,93.22870000000002,price_points,2023-01-05T21:00:00Z,2023-01-05T21:01:00Z,ERIS,exact,
2023-01-05,,ERIS-YIW,88.3306,price_points,2023-01-05T21:00:00Z,2023-01-05T21:01:00Z,ERIS,exact,
2023-01-05,,YAHOO-CONTINUOUS-ZF,108.140625,price_points,2023-01-05T21:00:00Z,2023-01-05T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-05,,YAHOO-CONTINUOUS-ZT,102.47265625,price_points,2023-01-05T21:00:00Z,2023-01-05T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-06,,ERIS-YIT,93.55720000000002,price_points,2023-01-06T21:00:00Z,2023-01-06T21:01:00Z,ERIS,exact,
2023-01-06,,ERIS-YIW,89.2098,price_points,2023-01-06T21:00:00Z,2023-01-06T21:01:00Z,ERIS,exact,
2023-01-06,,YAHOO-CONTINUOUS-ZF,109.0234375,price_points,2023-01-06T21:00:00Z,2023-01-06T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-06,,YAHOO-CONTINUOUS-ZT,102.83984375,price_points,2023-01-06T21:00:00Z,2023-01-06T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-09,,ERIS-YIT,93.66080000000001,price_points,2023-01-09T21:00:00Z,2023-01-09T21:01:00Z,ERIS,exact,
2023-01-09,,ERIS-YIW,89.4413,price_points,2023-01-09T21:00:00Z,2023-01-09T21:01:00Z,ERIS,exact,
2023-01-09,,YAHOO-CONTINUOUS-ZF,109.296875,price_points,2023-01-09T21:00:00Z,2023-01-09T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-09,,YAHOO-CONTINUOUS-ZT,102.96484375,price_points,2023-01-09T21:00:00Z,2023-01-09T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-10,,ERIS-YIT,93.58430000000001,price_points,2023-01-10T21:00:00Z,2023-01-10T21:01:00Z,ERIS,exact,
2023-01-10,,ERIS-YIW,89.1104,price_points,2023-01-10T21:00:00Z,2023-01-10T21:01:00Z,ERIS,exact,
2023-01-10,,YAHOO-CONTINUOUS-ZF,108.953125,price_points,2023-01-10T21:00:00Z,2023-01-10T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-10,,YAHOO-CONTINUOUS-ZT,102.8515625,price_points,2023-01-10T21:00:00Z,2023-01-10T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-11,,ERIS-YIT,93.64620000000002,price_points,2023-01-11T21:00:00Z,2023-01-11T21:01:00Z,ERIS,exact,
2023-01-11,,ERIS-YIW,89.3266,price_points,2023-01-11T21:00:00Z,2023-01-11T21:01:00Z,ERIS,exact,
2023-01-11,,YAHOO-CONTINUOUS-ZF,109.2265625,price_points,2023-01-11T21:00:00Z,2023-01-11T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-11,,YAHOO-CONTINUOUS-ZT,102.90625,price_points,2023-01-11T21:00:00Z,2023-01-11T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-12,,ERIS-YIT,93.76610000000002,price_points,2023-01-12T21:00:00Z,2023-01-12T21:01:00Z,ERIS,exact,
2023-01-12,,ERIS-YIW,89.7838,price_points,2023-01-12T21:00:00Z,2023-01-12T21:01:00Z,ERIS,exact,
2023-01-12,,YAHOO-CONTINUOUS-ZF,109.78125,price_points,2023-01-12T21:00:00Z,2023-01-12T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-12,,YAHOO-CONTINUOUS-ZT,103.06640625,price_points,2023-01-12T21:00:00Z,2023-01-12T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-13,,ERIS-YIT,93.62670000000001,price_points,2023-01-13T21:00:00Z,2023-01-13T21:01:00Z,ERIS,exact,
2023-01-13,,ERIS-YIW,89.5015,price_points,2023-01-13T21:00:00Z,2023-01-13T21:01:00Z,ERIS,exact,
2023-01-13,,YAHOO-CONTINUOUS-ZF,109.4296875,price_points,2023-01-13T21:00:00Z,2023-01-13T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-13,,YAHOO-CONTINUOUS-ZT,102.8828125,price_points,2023-01-13T21:00:00Z,2023-01-13T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-17,,ERIS-YIT,93.71260000000001,price_points,2023-01-17T21:00:00Z,2023-01-17T21:01:00Z,ERIS,exact,
2023-01-17,,ERIS-YIW,89.56269999999999,price_points,2023-01-17T21:00:00Z,2023-01-17T21:01:00Z,ERIS,exact,
2023-01-17,,YAHOO-CONTINUOUS-ZF,109.4921875,price_points,2023-01-17T21:00:00Z,2023-01-17T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-17,,YAHOO-CONTINUOUS-ZT,102.96875,price_points,2023-01-17T21:00:00Z,2023-01-17T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-18,,ERIS-YIT,93.88950000000001,price_points,2023-01-18T21:00:00Z,2023-01-18T21:01:00Z,ERIS,exact,
2023-01-18,,ERIS-YIW,90.1948,price_points,2023-01-18T21:00:00Z,2023-01-18T21:01:00Z,ERIS,exact,
2023-01-18,,YAHOO-CONTINUOUS-ZF,110.28125,price_points,2023-01-18T21:00:00Z,2023-01-18T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-18,,YAHOO-CONTINUOUS-ZT,103.19140625,price_points,2023-01-18T21:00:00Z,2023-01-18T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-19,,ERIS-YIT,93.81630000000001,price_points,2023-01-19T21:00:00Z,2023-01-19T21:01:00Z,ERIS,exact,
2023-01-19,,ERIS-YIW,90.0057,price_points,2023-01-19T21:00:00Z,2023-01-19T21:01:00Z,ERIS,exact,
2023-01-19,,YAHOO-CONTINUOUS-ZF,110.0234375,price_points,2023-01-19T21:00:00Z,2023-01-19T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-19,,YAHOO-CONTINUOUS-ZT,103.1171875,price_points,2023-01-19T21:00:00Z,2023-01-19T21:01:00Z,YAHOO,proxy,continuous futures proxy
2023-01-20,,ERIS-YIT,93.72600000000001,price_points,2023-01-20T21:00:00Z,2023-01-20T21:01:00Z,ERIS,exact,
2023-01-20,,ERIS-YIW,89.6481,price_points,2023-01-20T21:00:00Z,2023-01-20T21:01:00Z,ERIS,exact,
2023-01-20,,YAHOO-CONTINUOUS-ZF,109.6640625,price_points,2023-01-20T21:00:00Z,2023-01-20T21:01:00Z,YAHOO,proxy,continuous futures proxy
