observation_date,series_id,instrument_id,value,value_unit,source_observation_time_utc,available_at_utc,source,classification,proxy_label
2021-01-04,,ERIS-YIT,99.87620000000001,price_points,2021-01-04T21:00:00Z,2021-01-04T21:01:00Z,ERIS,exact,
2021-01-04,,ERIS-YIW,100.0573,price_points,2021-01-04T21:00:00Z,2021-01-04T21:01:00Z,ERIS,exact,
2021-01-04,,YAHOO-CONTINUOUS-ZF,126.203125,price_points,2021-01-04T21:00:00Z,2021-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-04,,YAHOO-CONTINUOUS-ZT,110.4921875,price_points,2021-01-04T21:00:00Z,2021-01-04T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-05,,ERIS-YIT,99.87450000000001,price_points,2021-01-05T21:00:00Z,2021-01-05T21:01:00Z,ERIS,exact,
2021-01-05,,ERIS-YIW,99.9648,price_points,2021-01-05T21:00:00Z,2021-01-05T21:01:00Z,ERIS,exact,
2021-01-05,,YAHOO-CONTINUOUS-ZF,126.078125,price_points,2021-01-05T21:00:00Z,2021-01-05T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-05,,YAHOO-CONTINUOUS-ZT,110.4765625,price_points,2021-01-05T21:00:00Z,2021-01-05T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-06,,ERIS-YIT,99.8413,price_points,2021-01-06T21:00:00Z,2021-01-06T21:01:00Z,ERIS,exact,
2021-01-06,,ERIS-YIW,99.7403,price_points,2021-01-06T21:00:00Z,2021-01-06T21:01:00Z,ERIS,exact,
2021-01-06,,YAHOO-CONTINUOUS-ZF,125.7890625,price_points,2021-01-06T21:00:00Z,2021-01-06T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-06,,YAHOO-CONTINUOUS-ZT,110.42578125,price_points,2021-01-06T21:00:00Z,2021-01-06T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-07,,ERIS-YIT,99.82110000000002,price_points,2021-01-07T21:00:00Z,2021-01-07T21:01:00Z,ERIS,exact,
2021-01-07,,ERIS-YIW,99.6242,price_points,2021-01-07T21:00:00Z,2021-01-07T21:01:00Z,ERIS,exact,
2021-01-07,,YAHOO-CONTINUOUS-ZF,125.7109375,price_points,2021-01-07T21:00:00Z,2021-01-07T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-07,,YAHOO-CONTINUOUS-ZT,110.4453125,price_points,2021-01-07T21:00:00Z,2021-01-07T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-08,,ERIS-YIT,99.81210000000002,price_points,2021-01-08T21:00:00Z,2021-01-08T21:01:00Z,ERIS,exact,
2021-01-08,,ERIS-YIW,99.4759,price_points,2021-01-08T21:00:00Z,2021-01-08T21:01:00Z,ERIS,exact,
2021-01-08,,YAHOO-CONTINUOUS-ZF,125.59375,price_points,2021-01-08T21:00:00Z,2021-01-08T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-08,,YAHOO-CONTINUOUS-ZT,110.4453125,price_points,2021-01-08T21:00:00Z,2021-01-08T21:01:00Z,YAHOO,proxy,continuous futures proxy
2021-01-11,,ERIS-YIT,99.81210000000002,price_points,2021-01-11T21:00:00Z,2021-01-11T21:01:00Z,ERIS,exact,
2021-01-11,,ERIS-YIW,99.4001,price_points,2021-01-11T21:00:00Z,2021-01-11T21:01:00Z,ERIS,exact,
