observation_date,source,series_id,maturity,rate_bps
2020-01-02,NYFED,EFFR,ON,155
2020-01-02,NYFED,SOFR,ON,154
2020-01-02,UST,DGS2,2Y,158
2020-01-02,UST,DGS5,5Y,167
2020-01-03,NYFED,EFFR,ON,155
2020-01-03,NYFED,SOFR,ON,155
2020-01-03,UST,DGS2,2Y,153
2020-01-03,UST,DGS5,5Y,159
2020-01-06,NYFED,EFFR,ON,155
2020-01-06,NYFED,SOFR,ON,155
2020-01-06,UST,DGS2,2Y,154
2020-01-06,UST,DGS5,5Y,161
2020-01-07,NYFED,EFFR,ON,155
2020-01-07,NYFED,SOFR,ON,156
2020-01-07,UST,DGS2,2Y,154
2020-01-07,UST,DGS5,5Y,162
2020-01-08,NYFED,EFFR,ON,155
2020-01-08,NYFED,SOFR,ON,155
2020-01-08,UST,DGS2,2Y,158
2020-01-08,UST,DGS5,5Y,167
2020-01-09,NYFED,EFFR,ON,155
2020-01-09,NYFED,SOFR,ON,155
2020-01-09,UST,DGS2,2Y,158
2020-01-09,UST,DGS5,5Y,165
2020-01-10,NYFED,EFFR,ON,154
2020-01-10,NYFED,SOFR,ON,155
2020-01-10,UST,DGS2,2Y,156
2020-01-10,UST,DGS5,5Y,163
2020-01-13,NYFED,EFFR,ON,154
2020-01-13,NYFED,SOFR,ON,154
2020-01-13,UST,DGS2,2Y,158
2020-01-13,UST,DGS5,5Y,165
2020-01-14,NYFED,EFFR,ON,154
2020-01-14,NYFED,SOFR,ON,155
2020-01-14,UST,DGS2,2Y,158
2020-01-14,UST,DGS5,5Y,163
2020-01-15,NYFED,EFFR,ON,154
2020-01-15,NYFED,SOFR,ON,156
2020-01-15,UST,DGS2,2Y,156
2020-01-15,UST,DGS5,5Y,160
2020-01-16,NYFED,EFFR,ON,154
2020-01-16,NYFED,SOFR,ON,155
2020-01-16,UST,DGS2,2Y,158
2020-01-16,UST,DGS5,5Y,163
2020-01-17,NYFED,EFFR,ON,155
2020-01-17,NYFED,SOFR,ON,154
2020-01-17,UST,DGS2,2Y,158
2020-01-17,UST,DGS5,5Y,163
2020-01-21,NYFED,EFFR,ON,155
2020-01-21,NYFED,SOFR,ON,154
2020-01-21,UST,DGS2,2Y,153
2020-01-21,UST,DGS5,5Y,157
2020-01-22,NYFED,EFFR,ON,155
2020-01-22,NYFED,SOFR,ON,154
2020-01-22,UST,DGS2,2Y,153
2020-01-22,UST,DGS5,5Y,157
2020-01-23,NYFED,EFFR,ON,155
2020-01-23,NYFED,SOFR,ON,154
2020-01-23,UST,DGS2,2Y,151
2020-01-23,UST,DGS5,5Y,155
2020-01-24,NYFED,EFFR,ON,155
2020-01-24,NYFED,SOFR,ON,153
2020-01-24,UST,DGS2,2Y,149
2020-01-24,UST,DGS5,5Y,151
2020-01-27,NYFED,EFFR,ON,155
2020-01-27,NYFED,SOFR,ON,153
2020-01-27,UST,DGS2,2Y,144
2020-01-27,UST,DGS5,5Y,144
2020-01-28,NYFED,EFFR,ON,155
2020-01-28,NYFED,SOFR,ON,153
2020-01-28,UST,DGS2,2Y,145
2020-01-28,UST,DGS5,5Y,147
2020-01-29,NYFED,EFFR,ON,155
2020-01-29,NYFED,SOFR,ON,153
2020-01-29,UST,DGS2,2Y,142
2020-01-29,UST,DGS5,5Y,141
2020-01-30,NYFED,EFFR,ON,160
2020-01-30,NYFED,SOFR,ON,158
2020-01-30,UST,DGS2,2Y,141
2020-01-30,UST,DGS5,5Y,139
2020-01-31,NYFED,EFFR,ON,159
2020-01-31,NYFED,SOFR,ON,160
2020-01-31,UST,DGS2,2Y,133
2020-01-31,UST,DGS5,5Y,132
2020-02-03,NYFED,EFFR,ON,159
2020-02-03,NYFED,SOFR,ON,159
2020-02-03,UST,DGS2,2Y,136
2020-02-03,UST,DGS5,5Y,135
2020-02-04,NYFED,EFFR,ON,159
2020-02-04,NYFED,SOFR,ON,160
2020-02-04,UST,DGS2,2Y,141
2020-02-04,UST,DGS5,5Y,142
2020-02-05,NYFED,EFFR,ON,159
2020-02-05,NYFED,SOFR,ON,159
2020-02-05,UST,DGS2,2Y,144
2020-02-05,UST,DGS5,5Y,146
2020-02-06,NYFED,EFFR,ON,159
2020-02-06,NYFED,SOFR,ON,159
2020-02-06,UST,DGS2,2Y,144
2020-02-06,UST,DGS5,5Y,145
2020-02-07,NYFED,EFFR,ON,158
2020-02-07,NYFED,SOFR,ON,158
2020-02-07,UST,DGS2,2Y,141
2020-02-07,UST,DGS5,5Y,141
2020-02-10,NYFED,EFFR,ON,158
2020-02-10,NYFED,SOFR,ON,158
2020-02-10,UST,DGS2,2Y,137
2020-02-10,UST,DGS5,5Y,138
2020-02-11,NYFED,EFFR,ON,158
2020-02-11,NYFED,SOFR,ON,158
2020-02-11,UST,DGS2,2Y,141
2020-02-11,UST,DGS5,5Y,140
2020-02-12,NYFED,EFFR,ON,158
2020-02-12,NYFED,SOFR,ON,157
2020-02-12,UST,DGS2,2Y,144
2020-02-12,UST,DGS5,5Y,145
2020-02-13,NYFED,EFFR,ON,158
2020-02-13,NYFED,SOFR,ON,157
2020-02-13,UST,DGS2,2Y,144
2020-02-13,UST,DGS5,5Y,143
2020-02-14,NYFED,EFFR,ON,158
2020-02-14,NYFED,SOFR,ON,158
2020-02-14,UST,DGS2,2Y,142
2020-02-14,UST,DGS5,5Y,142
2020-02-18,NYFED,EFFR,ON,159
2020-02-18,NYFED,SOFR,ON,160
2020-02-18,UST,DGS2,2Y,141
2020-02-18,UST,DGS5,5Y,139
2020-02-19,NYFED,EFFR,ON,159
2020-02-19,NYFED,SOFR,ON,159
2020-02-19,UST,DGS2,2Y,142
2020-02-19,UST,DGS5,5Y,141
2020-02-20,NYFED,EFFR,ON,159
2020-02-20,NYFED,SOFR,ON,160
2020-02-20,UST,DGS2,2Y,139
2020-02-20,UST,DGS5,5Y,137
2020-02-21,NYFED,EFFR,ON,158
2020-02-21,NYFED,SOFR,ON,158
2020-02-21,UST,DGS2,2Y,134
2020-02-21,UST,DGS5,5Y,130
2020-02-24,NYFED,EFFR,ON,158
2020-02-24,NYFED,SOFR,ON,158
2020-02-24,UST,DGS2,2Y,126
2020-02-24,UST,DGS5,5Y,121
2020-02-25,NYFED,EFFR,ON,158
2020-02-25,NYFED,SOFR,ON,159
2020-02-25,UST,DGS2,2Y,120
2020-02-25,UST,DGS5,5Y,116
2020-02-26,NYFED,EFFR,ON,158
2020-02-26,NYFED,SOFR,ON,158
2020-02-26,UST,DGS2,2Y,116
2020-02-26,UST,DGS5,5Y,114
2020-02-27,NYFED,EFFR,ON,158
2020-02-27,NYFED,SOFR,ON,158
2020-02-27,UST,DGS2,2Y,111
2020-02-27,UST,DGS5,5Y,111
2020-02-28,NYFED,EFFR,ON,158
2020-02-28,NYFED,SOFR,ON,160
2020-02-28,UST,DGS2,2Y,86
2020-02-28,UST,DGS5,5Y,89
2020-03-02,NYFED,EFFR,ON,159
2020-03-02,NYFED,SOFR,ON,159
2020-03-02,UST,DGS2,2Y,84
2020-03-02,UST,DGS5,5Y,88
2020-03-03,NYFED,EFFR,ON,159
2020-03-03,NYFED,SOFR,ON,164
2020-03-03,UST,DGS2,2Y,71
2020-03-03,UST,DGS5,5Y,77
2020-03-04,NYFED,EFFR,ON,109
2020-03-04,NYFED,SOFR,ON,123
2020-03-04,UST,DGS2,2Y,67
2020-03-04,UST,DGS5,5Y,75
2020-03-05,NYFED,EFFR,ON,109
2020-03-05,NYFED,SOFR,ON,112
2020-03-05,UST,DGS2,2Y,59
2020-03-05,UST,DGS5,5Y,67
