observation_date,source,series_id,maturity,rate_bps
2019-02-19,NYFED,SOFR,ON,240
2019-02-19,UST,DGS2,2Y,250
2019-02-19,UST,DGS5,5Y,247
2019-02-20,NYFED,EFFR,ON,240
2019-02-20,NYFED,SOFR,ON,239
2019-02-20,UST,DGS2,2Y,250
2019-02-20,UST,DGS5,5Y,247
2019-02-21,NYFED,EFFR,ON,240
2019-02-21,NYFED,SOFR,ON,239
2019-02-21,UST,DGS2,2Y,253
2019-02-21,UST,DGS5,5Y,251
2019-02-22,NYFED,EFFR,ON,240
2019-02-22,NYFED,SOFR,ON,240
2019-02-22,UST,DGS2,2Y,248
2019-02-22,UST,DGS5,5Y,247
2019-02-25,NYFED,EFFR,ON,240
2019-02-25,NYFED,SOFR,ON,238
2019-02-25,UST,DGS2,2Y,251
2019-02-25,UST,DGS5,5Y,248
2019-02-26,NYFED,EFFR,ON,240
2019-02-26,NYFED,SOFR,ON,238
2019-02-26,UST,DGS2,2Y,248
2019-02-26,UST,DGS5,5Y,245
2019-02-27,NYFED,EFFR,ON,240
2019-02-27,NYFED,SOFR,ON,237
2019-02-27,UST,DGS2,2Y,250
2019-02-27,UST,DGS5,5Y,249
2019-02-28,NYFED,EFFR,ON,240
2019-02-28,NYFED,SOFR,ON,258
2019-02-28,UST,DGS2,2Y,252
2019-02-28,UST,DGS5,5Y,252
2019-03-01,NYFED,EFFR,ON,240
2019-03-01,NYFED,SOFR,ON,238
2019-03-01,UST,DGS2,2Y,255
2019-03-01,UST,DGS5,5Y,256
2019-03-04,NYFED,EFFR,ON,240
2019-03-04,NYFED,SOFR,ON,238
2019-03-04,UST,DGS2,2Y,255
2019-03-04,UST,DGS5,5Y,253
2019-03-05,NYFED,EFFR,ON,240
2019-03-05,NYFED,SOFR,ON,238
2019-03-05,UST,DGS2,2Y,255
2019-03-05,UST,DGS5,5Y,253
2019-03-06,NYFED,EFFR,ON,240
2019-03-06,NYFED,SOFR,ON,238
2019-03-06,UST,DGS2,2Y,252
2019-03-06,UST,DGS5,5Y,249
2019-03-07,NYFED,EFFR,ON,240
2019-03-07,NYFED,SOFR,ON,238
2019-03-07,UST,DGS2,2Y,247
2019-03-07,UST,DGS5,5Y,244
2019-03-08,NYFED,EFFR,ON,240
2019-03-08,NYFED,SOFR,ON,239
2019-03-08,UST,DGS2,2Y,245
2019-03-08,UST,DGS5,5Y,242
