observation_date,source,series_id,maturity,rate_bps
2023-01-03,NYFED,EFFR,ON,433
2023-01-03,NYFED,SOFR,ON,431
2023-01-03,UST,DGS2,2Y,440
2023-01-03,UST,DGS5,5Y,394
2023-01-04,NYFED,EFFR,ON,433
2023-01-04,NYFED,SOFR,ON,430
2023-01-04,UST,DGS2,2Y,436
2023-01-04,UST,DGS5,5Y,385
2023-01-05,NYFED,EFFR,ON,433
2023-01-05,NYFED,SOFR,ON,431
2023-01-05,UST,DGS2,2Y,445
2023-01-05,UST,DGS5,5Y,390
2023-01-06,NYFED,EFFR,ON,433
2023-01-06,NYFED,SOFR,ON,431
2023-01-06,UST,DGS2,2Y,424
2023-01-06,UST,DGS5,5Y,369
2023-01-09,NYFED,EFFR,ON,433
2023-01-09,NYFED,SOFR,ON,431
2023-01-09,UST,DGS2,2Y,419
2023-01-09,UST,DGS5,5Y,366
2023-01-10,NYFED,EFFR,ON,433
2023-01-10,NYFED,SOFR,ON,431
2023-01-10,UST,DGS2,2Y,424
2023-01-10,UST,DGS5,5Y,372
2023-01-11,NYFED,EFFR,ON,433
2023-01-11,NYFED,SOFR,ON,430
2023-01-11,UST,DGS2,2Y,420
2023-01-11,UST,DGS5,5Y,366
2023-01-12,NYFED,EFFR,ON,433
2023-01-12,NYFED,SOFR,ON,430
2023-01-12,UST,DGS2,2Y,412
2023-01-12,UST,DGS5,5Y,353
2023-01-13,NYFED,EFFR,ON,433
2023-01-13,NYFED,SOFR,ON,430
2023-01-13,UST,DGS2,2Y,422
2023-01-13,UST,DGS5,5Y,360
2023-01-17,NYFED,EFFR,ON,433
2023-01-17,NYFED,SOFR,ON,431
2023-01-17,UST,DGS2,2Y,418
2023-01-17,UST,DGS5,5Y,360
2023-01-18,NYFED,EFFR,ON,433
2023-01-18,NYFED,SOFR,ON,430
2023-01-18,UST,DGS2,2Y,406
2023-01-18,UST,DGS5,5Y,343
2023-01-19,NYFED,EFFR,ON,433
2023-01-19,NYFED,SOFR,ON,431
2023-01-19,UST,DGS2,2Y,409
2023-01-19,UST,DGS5,5Y,348
2023-01-20,NYFED,EFFR,ON,433
2023-01-20,NYFED,SOFR,ON,430
2023-01-20,UST,DGS2,2Y,414
2023-01-20,UST,DGS5,5Y,356
2023-01-23,NYFED,EFFR,ON,433
2023-01-23,NYFED,SOFR,ON,430
2023-01-23,UST,DGS2,2Y,421
2023-01-23,UST,DGS5,5Y,361
2023-01-24,NYFED,EFFR,ON,433
2023-01-24,NYFED,SOFR,ON,430
2023-01-24,UST,DGS2,2Y,412
2023-01-24,UST,DGS5,5Y,358
2023-01-25,NYFED,EFFR,ON,433
2023-01-25,NYFED,SOFR,ON,431
2023-01-25,UST,DGS2,2Y,411
2023-01-25,UST,DGS5,5Y,354
2023-01-26,NYFED,EFFR,ON,433
2023-01-26,NYFED,SOFR,ON,430
2023-01-26,UST,DGS2,2Y,417
2023-01-26,UST,DGS5,5Y,358
2023-01-27,NYFED,EFFR,ON,433
2023-01-27,NYFED,SOFR,ON,430
2023-01-27,UST,DGS2,2Y,419
2023-01-27,UST,DGS5,5Y,362
2023-01-30,NYFED,EFFR,ON,433
2023-01-30,NYFED,SOFR,ON,430
2023-01-30,UST,DGS2,2Y,425
2023-01-30,UST,DGS5,5Y,368
2023-01-31,NYFED,EFFR,ON,433
2023-01-31,NYFED,SOFR,ON,431
2023-01-31,UST,DGS2,2Y,421
2023-01-31,UST,DGS5,5Y,363
2023-02-01,NYFED,EFFR,ON,433
2023-02-01,NYFED,SOFR,ON,431
2023-02-01,UST,DGS2,2Y,409
2023-02-01,UST,DGS5,5Y,348
2023-02-02,NYFED,EFFR,ON,458
2023-02-02,NYFED,SOFR,ON,456
2023-02-02,UST,DGS2,2Y,409
2023-02-02,UST,DGS5,5Y,349
2023-02-03,NYFED,EFFR,ON,458
2023-02-03,NYFED,SOFR,ON,455
2023-02-03,UST,DGS2,2Y,430
2023-02-03,UST,DGS5,5Y,367
2023-02-06,NYFED,EFFR,ON,458
2023-02-06,NYFED,SOFR,ON,455
2023-02-06,UST,DGS2,2Y,444
2023-02-06,UST,DGS5,5Y,381
2023-02-07,NYFED,EFFR,ON,458
2023-02-07,NYFED,SOFR,ON,455
2023-02-07,UST,DGS2,2Y,447
2023-02-07,UST,DGS5,5Y,385
2023-02-08,NYFED,EFFR,ON,458
2023-02-08,NYFED,SOFR,ON,455
2023-02-08,UST,DGS2,2Y,445
2023-02-08,UST,DGS5,5Y,382
2023-02-09,NYFED,EFFR,ON,457
2023-02-09,NYFED,SOFR,ON,455
2023-02-09,UST,DGS2,2Y,448
2023-02-09,UST,DGS5,5Y,387
2023-02-10,NYFED,EFFR,ON,458
2023-02-10,NYFED,SOFR,ON,455
2023-02-10,UST,DGS2,2Y,450
2023-02-10,UST,DGS5,5Y,393
2023-02-13,NYFED,EFFR,ON,458
2023-02-13,NYFED,SOFR,ON,455
2023-02-13,UST,DGS2,2Y,452
2023-02-13,UST,DGS5,5Y,393
2023-02-14,NYFED,EFFR,ON,458
2023-02-14,NYFED,SOFR,ON,455
2023-02-14,UST,DGS2,2Y,460
2023-02-14,UST,DGS5,5Y,400
2023-02-15,NYFED,EFFR,ON,458
2023-02-15,NYFED,SOFR,ON,455
2023-02-15,UST,DGS2,2Y,462
2023-02-15,UST,DGS5,5Y,404
2023-02-16,NYFED,EFFR,ON,458
2023-02-16,NYFED,SOFR,ON,455
2023-02-16,UST,DGS2,2Y,462
2023-02-16,UST,DGS5,5Y,406
2023-02-17,NYFED,EFFR,ON,458
2023-02-17,NYFED,SOFR,ON,455
2023-02-17,UST,DGS2,2Y,460
2023-02-17,UST,DGS5,5Y,403
2023-02-21,NYFED,EFFR,ON,458
2023-02-21,NYFED,SOFR,ON,455
2023-02-21,UST,DGS2,2Y,467
2023-02-21,UST,DGS5,5Y,416
2023-02-22,NYFED,EFFR,ON,458
2023-02-22,NYFED,SOFR,ON,455
2023-02-22,UST,DGS2,2Y,466
2023-02-22,UST,DGS5,5Y,413
2023-02-23,NYFED,EFFR,ON,458
2023-02-23,NYFED,SOFR,ON,455
2023-02-23,UST,DGS2,2Y,466
2023-02-23,UST,DGS5,5Y,409
2023-02-24,NYFED,EFFR,ON,458
2023-02-24,NYFED,SOFR,ON,455
2023-02-24,UST,DGS2,2Y,478
2023-02-24,UST,DGS5,5Y,419
2023-02-27,NYFED,EFFR,ON,457
2023-02-27,NYFED,SOFR,ON,455
2023-02-27,UST,DGS2,2Y,478
2023-02-27,UST,DGS5,5Y,417
2023-02-28,NYFED,EFFR,ON,457
2023-02-28,NYFED,SOFR,ON,455
2023-02-28,UST,DGS2,2Y,481
2023-02-28,UST,DGS5,5Y,418
2023-03-01,NYFED,EFFR,ON,458
2023-03-01,NYFED,SOFR,ON,455
2023-03-01,UST,DGS2,2Y,489
2023-03-01,UST,DGS5,5Y,427
2023-03-02,NYFED,EFFR,ON,457
2023-03-02,NYFED,SOFR,ON,455
2023-03-02,UST,DGS2,2Y,489
2023-03-02,UST,DGS5,5Y,432
2023-03-03,NYFED,EFFR,ON,457
2023-03-03,NYFED,SOFR,ON,455
2023-03-03,UST,DGS2,2Y,486
2023-03-03,UST,DGS5,5Y,426
2023-03-06,NYFED,EFFR,ON,457
2023-03-06,NYFED,SOFR,ON,455
2023-03-06,UST,DGS2,2Y,489
2023-03-06,UST,DGS5,5Y,427
2023-03-07,NYFED,EFFR,ON,457
2023-03-07,NYFED,SOFR,ON,455
2023-03-07,UST,DGS2,2Y,500
2023-03-07,UST,DGS5,5Y,431
2023-03-08,NYFED,EFFR,ON,457
2023-03-08,NYFED,SOFR,ON,455
2023-03-08,UST,DGS2,2Y,505
2023-03-08,UST,DGS5,5Y,434
2023-03-09,NYFED,EFFR,ON,457
2023-03-09,NYFED,SOFR,ON,455
2023-03-09,UST,DGS2,2Y,490
2023-03-09,UST,DGS5,5Y,422
2023-03-10,NYFED,EFFR,ON,457
2023-03-10,NYFED,SOFR,ON,455
2023-03-10,UST,DGS2,2Y,460
2023-03-10,UST,DGS5,5Y,396
2023-03-13,NYFED,EFFR,ON,458
2023-03-13,NYFED,SOFR,ON,455
2023-03-13,UST,DGS2,2Y,403
2023-03-13,UST,DGS5,5Y,368
2023-03-14,NYFED,EFFR,ON,458
2023-03-14,NYFED,SOFR,ON,455
2023-03-14,UST,DGS2,2Y,420
2023-03-14,UST,DGS5,5Y,378
2023-03-15,NYFED,EFFR,ON,458
2023-03-15,NYFED,SOFR,ON,458
2023-03-15,UST,DGS2,2Y,393
2023-03-15,UST,DGS5,5Y,359
2023-03-16,NYFED,EFFR,ON,458
2023-03-16,NYFED,SOFR,ON,457
2023-03-16,UST,DGS2,2Y,414
2023-03-16,UST,DGS5,5Y,372
2023-03-17,NYFED,EFFR,ON,458
2023-03-17,NYFED,SOFR,ON,455
2023-03-17,UST,DGS2,2Y,381
2023-03-17,UST,DGS5,5Y,344
2023-03-20,NYFED,EFFR,ON,458
2023-03-20,NYFED,SOFR,ON,455
2023-03-20,UST,DGS2,2Y,392
2023-03-20,UST,DGS5,5Y,356
2023-03-21,NYFED,EFFR,ON,458
2023-03-21,NYFED,SOFR,ON,455
2023-03-21,UST,DGS2,2Y,417
2023-03-21,UST,DGS5,5Y,373
2023-03-22,NYFED,EFFR,ON,458
2023-03-22,NYFED,SOFR,ON,455
2023-03-22,UST,DGS2,2Y,396
2023-03-22,UST,DGS5,5Y,354
2023-03-23,NYFED,EFFR,ON,483
2023-03-23,NYFED,SOFR,ON,480
2023-03-23,UST,DGS2,2Y,376
2023-03-23,UST,DGS5,5Y,339
2023-03-24,NYFED,EFFR,ON,483
2023-03-24,NYFED,SOFR,ON,480
2023-03-24,UST,DGS2,2Y,376
2023-03-24,UST,DGS5,5Y,341
2023-03-27,NYFED,EFFR,ON,483
2023-03-27,NYFED,SOFR,ON,481
2023-03-27,UST,DGS2,2Y,394
2023-03-27,UST,DGS5,5Y,359
2023-03-28,NYFED,EFFR,ON,483
2023-03-28,NYFED,SOFR,ON,484
2023-03-28,UST,DGS2,2Y,402
2023-03-28,UST,DGS5,5Y,363
2023-03-29,NYFED,EFFR,ON,483
2023-03-29,NYFED,SOFR,ON,483
2023-03-29,UST,DGS2,2Y,408
2023-03-29,UST,DGS5,5Y,367
2023-03-30,NYFED,EFFR,ON,483
2023-03-30,NYFED,SOFR,ON,482
2023-03-30,UST,DGS2,2Y,410
2023-03-30,UST,DGS5,5Y,366
2023-03-31,NYFED,EFFR,ON,483
2023-03-31,NYFED,SOFR,ON,487
2023-03-31,UST,DGS2,2Y,406
2023-03-31,UST,DGS5,5Y,360
2023-04-03,NYFED,EFFR,ON,483
2023-04-03,NYFED,SOFR,ON,484
2023-04-03,UST,DGS2,2Y,397
2023-04-03,UST,DGS5,5Y,352
2023-04-04,NYFED,EFFR,ON,483
2023-04-04,NYFED,SOFR,ON,483
2023-04-04,UST,DGS2,2Y,384
2023-04-04,UST,DGS5,5Y,339
2023-04-05,NYFED,EFFR,ON,483
2023-04-05,NYFED,SOFR,ON,481
2023-04-05,UST,DGS2,2Y,379
2023-04-05,UST,DGS5,5Y,336
2023-04-06,NYFED,EFFR,ON,483
2023-04-06,NYFED,SOFR,ON,481
2023-04-06,UST,DGS2,2Y,382
2023-04-06,UST,DGS5,5Y,337
2023-04-07,NYFED,EFFR,ON,483
2023-04-07,UST,DGS2,2Y,397
2023-04-07,UST,DGS5,5Y,349
2023-04-10,NYFED,EFFR,ON,483
2023-04-10,NYFED,SOFR,ON,481
2023-04-10,UST,DGS2,2Y,400
2023-04-10,UST,DGS5,5Y,352
2023-04-11,NYFED,EFFR,ON,483
